combined_LN_type,glomerulus,broad_LN_group,n_ln_body_ids,orn_input_total,pn_output_weight_total,mean_pn_output_percent,sum_pn_output_percent,contra_orn_preference_weighted,same_glomerulus_convergence_score,type_order,glomerulus_order
lLN1,DC4,lLN1,1,28.0,6.0,0.17118402282453637,0.17118402282453637,0.07142857142857142,0.0002379348052645584,11,15
lLN1,VC3,lLN1,1,64.0,52.0,1.2871287128712872,1.2871287128712872,0.21875,0.0111787303259048,11,18
lLN1,DL2v,lLN1,1,28.0,57.0,1.322505800464037,1.322505800464037,0.35714285714285715,0.019178426549647486,11,21
v2LN3b,DC2,v2LN3,1,64.0,5.0,0.5411255411255411,0.5411255411255411,-0.65625,-0.006362782206065536,15,1
v2LN3b,DL5,v2LN3,3,88.0,3.0,0.1142983599605607,0.3428950798816821,-0.13636363636363635,-0.0001545364482974707,15,5
v2LN3b,DM3,v2LN3,1,26.0,1.0,0.10822510822510822,0.10822510822510822,-0.6153846153846154,-0.00046163648388940746,15,9
v2LN3b,DM4,v2LN3,2,104.0,4.0,0.20832679656532063,0.41665359313064126,-0.23076923076923078,-0.0012593032346869782,15,11
v2LN3b,DC4,v2LN3,1,52.0,0.0,,0.0,-0.7307692307692307,0.0,15,15
v2LN3b,DL2d,v2LN3,1,34.0,13.0,1.8678160919540232,1.8678160919540232,-0.29411764705882354,-0.014497863964248802,15,22
v2LN47,VL2p,other v2LN,3,160.0,2.0,2.2222222222222223,2.2222222222222223,-0.05,0.0028721889899819865,16,10
v2LN40,VL2p,other v2LN,2,338.0,34.0,4.120079901329901,8.240159802659802,-0.9940828402366864,-0.23158058862725212,17,10
v2LN3a,DP1m,v2LN3,4,317.0,13.0,0.5168863998084051,2.0675455992336205,-0.7854889589905363,-0.025134909806260076,18,0
v2LN3a,DC2,v2LN3,2,60.0,5.0,0.41827541827541825,0.8365508365508365,-0.8666666666666667,-0.009655459047190106,18,1
v2LN3a,VL2a,v2LN3,1,32.0,5.0,0.7936507936507936,0.7936507936507936,-0.0625,-0.0008887695779901066,18,2
v2LN3a,VC1,v2LN3,1,41.0,1.0,0.15873015873015872,0.15873015873015872,-0.6097560975609756,-0.0006708741584978177,18,4
v2LN3a,DM1,v2LN3,3,178.0,1.0,0.12468827930174563,0.12468827930174563,-0.8089887640449438,-0.0007300172470367193,18,6
v2LN3a,DM4,v2LN3,3,201.0,8.0,0.4106885653020316,1.232065695906095,-0.6019900497512438,-0.011819958187546937,18,11
v2LN3a,DC1,v2LN3,3,131.0,1.0,0.15873015873015872,0.15873015873015872,-0.7251908396946565,-0.000945814866261134,18,13
v2LN3a,DC4,v2LN3,1,86.0,1.0,0.18018018018018017,0.18018018018018017,-0.7441860465116279,-0.000929424252165022,18,15
v2LN3a,DP1l,v2LN3,2,76.0,0.0,,0.0,-0.9210526315789473,0.0,18,19
v2LN3a,DL2v,v2LN3,1,30.0,5.0,0.6234413965087282,0.6234413965087282,-0.9333333333333333,-0.010425865573230579,18,21
v2LN37,DA1,v2LN3,1,258.0,59.0,4.937238493723849,4.937238493723849,-0.5271317829457365,-0.10655840150261145,19,16
v2LN37,DP1l,v2LN3,1,89.0,27.0,2.259414225941423,2.259414225941423,-0.9325842696629213,-0.07021268682527979,19,19
v2LN37,DL2v,v2LN3,1,33.0,6.0,0.502092050209205,0.502092050209205,-0.8181818181818182,-0.007993849223962488,19,21
v2LN36,VL2a,v2LN3,1,167.0,45.0,1.4182161991805862,1.4182161991805862,-0.9161676646706587,-0.049746449769532644,20,2
v2LN36,DL4,v2LN3,1,209.0,10.0,0.31515915537346356,0.31515915537346356,-0.6842105263157895,-0.0051707065447573804,20,14
v2LN36,DA1,v2LN3,1,1487.0,681.0,21.46233848093287,21.46233848093287,-0.6529926025554809,-0.9144664805409138,20,16
v2LN36,DL3,v2LN3,1,697.0,297.0,9.36022691459187,9.36022691459187,-0.4748923959827834,-0.2532415359771525,20,20
v2LN36,VA1d,v2LN3,1,116.0,486.0,15.316734951150332,15.316734951150332,-1.0,-0.9478400138096876,20,23
v2LN36,VA1v,v2LN3,1,59.0,516.0,16.26221241727072,16.26221241727072,-1.0,-1.0160700041747084,20,24
lLN10,DC4,other lLN,1,68.0,38.0,3.3216783216783217,3.3216783216783217,-0.5882352941176471,-0.07158337235341761,21,15
vLN25,VL2a,vLN,2,444.0,2.0,0.24330900243309003,0.24330900243309003,-0.9144144144144144,-0.0025195476183380206,22,2
vLN25,VL2p,vLN,2,386.0,1.0,0.1176470588235294,0.1176470588235294,-0.9067357512953368,-0.0006753088340014172,22,10
vLN25,VA3,vLN,1,26.0,0.0,,0.0,-1.0,0.0,22,17
vLN25,DP1l,vLN,2,405.0,1.0,0.1176470588235294,0.1176470588235294,-0.9111111111111111,-0.0007325383962049272,22,19
vLN25,DL2v,vLN,1,76.0,0.0,,0.0,-1.0,0.0,22,21
vLN25,DL2d,vLN,1,51.0,0.0,,0.0,-0.9215686274509803,0.0,22,22
vLN24,DP1m,vLN,1,71.0,33.0,2.2494887525562373,2.2494887525562373,-0.18309859154929578,-0.014524311040643771,23,0
vLN24,DM1,vLN,1,243.0,11.0,0.7498295841854125,0.7498295841854125,-0.053497942386831275,-0.0009968038995617832,23,6
vLN24,DM4,vLN,1,56.0,5.0,0.34083162917518744,0.34083162917518744,0.0,0.0,23,11
vLN24,VM7v,vLN,1,50.0,6.0,0.408997955010225,0.408997955010225,0.36,0.0028651437777501548,23,12
vLN24,DC1,vLN,2,99.0,11.0,0.39447969784471537,0.7889593956894307,-0.09090909090909091,0.00033508514625471206,23,13
vLN24,DP1l,vLN,1,47.0,1.0,0.0681663258350375,0.0681663258350375,-0.2765957446808511,-0.00013068954368126136,23,19
v2LN46,DP1l,other v2LN,2,149.0,2.0,0.8101851851851851,1.6203703703703702,-0.3422818791946309,-0.0034054495373302958,24,19
v2LN45,VL2p,other v2LN,1,35.0,0.0,,0.0,-1.0,0.0,25,10
v2LN42,VL2p,other v2LN,1,94.0,0.0,,0.0,-1.0,0.0,26,10
lLN14,DM1,other lLN,1,27.0,0.0,,0.0,-0.7037037037037037,0.0,27,6
l2LN19,VM7v,l2LN,2,64.0,28.0,2.2815279958137102,4.5630559916274205,0.125,0.01906611717707697,28,12
l2LN19,DC1,l2LN,1,45.0,12.0,2.051282051282051,2.051282051282051,-0.5555555555555556,-0.029230192107823783,28,13
l2LN19,DC4,l2LN,2,72.0,40.0,3.3281004709576143,6.656200941915229,-0.4166666666666667,-0.09118803490965825,28,15
lLN16a,DL1,other lLN,1,35.0,3.0,2.631578947368421,2.631578947368421,-0.8285714285714286,-0.030227471031937465,29,3
lLN16a,DC1,other lLN,1,28.0,0.0,,0.0,-0.9285714285714286,0.0,29,13
lLN17,DA1,other lLN,1,53.0,47.0,9.306930693069306,9.306930693069306,-0.05660377358490566,-0.020393773306109197,30,16
lLN8,DP1m,other lLN,1,27.0,36.0,5.157593123209169,5.157593123209169,-0.8518518518518519,-0.15864586817730117,32,0
lLN8,DP1l,other lLN,2,231.0,62.0,4.716954456341426,9.433908912682853,-0.9393939393939394,-0.30731423959496873,32,19
lLN8,DL2v,other lLN,2,252.0,111.0,8.50267682099231,17.00535364198462,-0.7698412698412699,-0.5269295136456313,32,21
