source_bodyId,source_name,source_cell_type,source_class,target_bodyId,target_name,target_cell_type,target_class,roi,ln_synaptic_weight,total_LN_input_for_target,percentage_of_LN_input,true_total_input_for_target,percentage_of_all_inputs
1547454812,lLN1_c_R_15474,lLN1,ALLN_broad,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),4,2891,0.13836042891732964,13356,0.02994908655286014
1578826464,lLN1_c_R_15788,lLN1,ALLN_broad,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),7,2891,0.24213075060532688,13356,0.052410901467505246
1702651358,lLN1_c_R_17026,lLN1,ALLN_broad,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),6,2891,0.20754064337599448,13356,0.04492362982929021
1824101645,lLN1_c_R_18241,lLN1,ALLN_broad,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),8,2891,0.2767208578346593,13356,0.05989817310572028
5813047691,lLN1_c_R_58130,lLN1,ALLN_broad,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),2,2891,0.06918021445866482,13356,0.01497454327643007
5813062199,lLN1_c_R_58130,lLN1,ALLN_broad,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),3,2891,0.10377032168799724,13356,0.022461814914645106
1670287030,lLN2F_a(Full)_R_16702,lLN2F,ALLN_broad,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),73,2891,2.525077827741266,13356,0.5465708295896975
5901218894,lLN2F_a(Full)_R_59012,lLN2F,ALLN_broad,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),58,2891,2.0062262193012796,13356,0.434261755016472
1640909284,lLN2F_b(Full)_R_16409,lLN2F,ALLN_broad,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),99,2891,3.4244206157039088,13356,0.7412398921832885
5813024698,lLN2F_b(Full)_R_58130,lLN2F,ALLN_broad,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),84,2891,2.9055690072639226,13356,0.628930817610063
1670916819,lLN2P_a(Patchy)_R_16709,lLN2P,ALLN_patchy,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),1,2891,0.03459010722933241,13356,0.007487271638215035
2135408892,lLN2P_a(Patchy)_R_21354,lLN2P,ALLN_patchy,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),1,2891,0.03459010722933241,13356,0.007487271638215035
1671257931,lLN2P_b(Patchy)_R_16712,lLN2P,ALLN_patchy,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),7,2891,0.24213075060532688,13356,0.052410901467505246
1701947337,lLN2P_b(Patchy)_R_17019,lLN2P,ALLN_patchy,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),7,2891,0.24213075060532688,13356,0.052410901467505246
1946178096,lLN2P_b(Patchy)_R_19461,lLN2P,ALLN_patchy,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),6,2891,0.20754064337599448,13356,0.04492362982929021
5813039309,lLN2P_b(Patchy)_R_58130,lLN2P,ALLN_patchy,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),5,2891,0.17295053614666206,13356,0.03743635819107517
1639886198,lLN2P_c(Patchy)_R_16398,lLN2P,ALLN_patchy,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),4,2891,0.13836042891732964,13356,0.02994908655286014
1640555311,lLN2P_c(Patchy)_R_16405,lLN2P,ALLN_patchy,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),3,2891,0.10377032168799724,13356,0.022461814914645106
1762704980,lLN2P_c(Patchy)_R_17627,lLN2P,ALLN_patchy,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),1,2891,0.03459010722933241,13356,0.007487271638215035
1858171556,lLN2P_c(Patchy)_R_18581,lLN2P,ALLN_patchy,5901206553,il3LN6_L_59012,il3LN6,ALLN_broad,AL(R),2,2891,0.06918021445866482,13356,0.01497454327643007
