source_bodyId,source_name,source_cell_type,source_class,target_bodyId,target_name,target_cell_type,target_class,roi,ln_synaptic_weight,total_LN_input_for_target,percentage_of_LN_input,true_total_input_for_target,percentage_of_all_inputs
5813062199,lLN1_c_R,lLN1,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),3,2891,0.103770322,13356,0.022461815
1670287030,lLN2F_a(Full)_R,lLN2F,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),73,2891,2.525077828,13356,0.54657083
5901218894,lLN2F_a(Full)_R,lLN2F,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),58,2891,2.006226219,13356,0.434261755
1640909284,lLN2F_b(Full)_R,lLN2F,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),99,2891,3.424420616,13356,0.741239892
5813024698,lLN2F_b(Full)_R,lLN2F,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),84,2891,2.905569007,13356,0.628930818
1670916819,lLN2P_a(Patchy)_R,lLN2P,ALLN_patchy,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),1,2891,0.034590107,13356,0.007487272
2135408892,lLN2P_a(Patchy)_R,lLN2P,ALLN_patchy,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),1,2891,0.034590107,13356,0.007487272
1671257931,lLN2P_b(Patchy)_R,lLN2P,ALLN_patchy,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),7,2891,0.242130751,13356,0.052410901
1701947337,lLN2P_b(Patchy)_R,lLN2P,ALLN_patchy,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),7,2891,0.242130751,13356,0.052410901
1946178096,lLN2P_b(Patchy)_R,lLN2P,ALLN_patchy,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),6,2891,0.207540643,13356,0.04492363
5813039309,lLN2P_b(Patchy)_R,lLN2P,ALLN_patchy,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),5,2891,0.172950536,13356,0.037436358
1639886198,lLN2P_c(Patchy)_R,lLN2P,ALLN_patchy,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),4,2891,0.138360429,13356,0.029949087
1640555311,lLN2P_c(Patchy)_R,lLN2P,ALLN_patchy,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),3,2891,0.103770322,13356,0.022461815
1762704980,lLN2P_c(Patchy)_R,lLN2P,ALLN_patchy,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),1,2891,0.034590107,13356,0.007487272
1858171556,lLN2P_c(Patchy)_R,lLN2P,ALLN_patchy,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),2,2891,0.069180214,13356,0.014974543
2105086391,lLN2P_c(Patchy)_R,lLN2P,ALLN_patchy,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),3,2891,0.103770322,13356,0.022461815
5813132949,lLN2P_c(Patchy)_R,lLN2P,ALLN_patchy,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),2,2891,0.069180214,13356,0.014974543
5813024339,lLN2R_a(Regional)_R,lLN2R,ALLN_regional,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),42,2891,1.452784504,13356,0.314465409
5813034531,lLN2R_a(Regional)_R,lLN2R,ALLN_regional,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),70,2891,2.421307506,13356,0.524109015
5813075196,lLN2R_a(Regional)_R,lLN2R,ALLN_regional,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),132,2891,4.565894154,13356,0.988319856
1702305987,lLN2R_b(Regional)_R,lLN2R,ALLN_regional,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),6,2891,0.207540643,13356,0.04492363
5813076969,lLN2R_b(Regional)_R,lLN2R,ALLN_regional,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),35,2891,1.210653753,13356,0.262054507
1640922754,lLN2S(Star)_R,lLN2S,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),36,2891,1.24524386,13356,0.269541779
1670627928,lLN2S(Star)_R,lLN2S,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),61,2891,2.109996541,13356,0.45672357
1702306037,lLN2S(Star)_R,lLN2S,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),79,2891,2.732618471,13356,0.591494459
1732995501,lLN2S(Star)_R,lLN2S,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),65,2891,2.24835697,13356,0.486672656
1762359683,lLN2S(Star)_R,lLN2S,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),81,2891,2.801798686,13356,0.606469003
5813069085,lLN2S(Star)_R,lLN2S,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),65,2891,2.24835697,13356,0.486672656
1672320134,lLN2T_a(Tortuous)_R,lLN2T,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),20,2891,0.691802145,13356,0.149745433
1730327790,lLN2T_a(Tortuous)_R,lLN2T,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),44,2891,1.521964718,13356,0.329439952
1762354941,lLN2T_a(Tortuous)_R,lLN2T,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),120,2891,4.150812868,13356,0.898472597
1916800213,lLN2T_a(Tortuous)_R,lLN2T,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),35,2891,1.210653753,13356,0.262054507
5813032595,lLN2T_a(Tortuous)_R,lLN2T,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),77,2891,2.663438257,13356,0.576519916
5813054726,lLN2T_a(Tortuous)_R,lLN2T,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),60,2891,2.075406434,13356,0.449236298
5813055277,lLN2T_a(Tortuous)_R,lLN2T,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),78,2891,2.698028364,13356,0.584007188
5813056598,lLN2T_a(Tortuous)_R,lLN2T,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),16,2891,0.553441716,13356,0.119796346
1640572741,lLN2T_b(Tortuous)_R,lLN2T,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),53,2891,1.833275683,13356,0.396825397
5813034493,lLN2T_b(Tortuous)_R,lLN2T,ALLN_regional,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),39,2891,1.349014182,13356,0.292003594
1671292719,lLN2T_c(Tortuous)_R,lLN2T,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),146,2891,5.050155655,13356,1.093141659
1704347707,lLN2T_c(Tortuous)_R,lLN2T,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),191,2891,6.606710481,13356,1.430068883
1667251683,lLN2T_d(Tortuous)_R,lLN2T,ALLN_regional,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),67,2891,2.317537184,13356,0.5016472
1669924220,lLN2T_d(Tortuous)_R,lLN2T,ALLN_regional,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),63,2891,2.179176755,13356,0.471698113
1640922516,lLN2T_e(Tortuous)_R,lLN2T,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),26,2891,0.899342788,13356,0.194669063
1699974843,lLN2T_e(Tortuous)_R,lLN2T,ALLN_broad,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),24,2891,0.830162574,13356,0.179694519
2041993364,lLN7_R,lLN7,ALLN_regional,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),4,2891,0.138360429,13356,0.029949087
1795734228,lLN8_R,lLN8,ALLN_sparse,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),18,2891,0.62262193,13356,0.134770889
1885765762,lLN8_R,lLN8,ALLN_sparse,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),25,2891,0.864752681,13356,0.187181791
1857485083,lLN9_R,lLN9,ALLN_sparse,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),1,2891,0.034590107,13356,0.007487272
1671620613,v2LN30_R,v2LN30,ALLN_regional,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),11,2891,0.38049118,13356,0.082359988
1730979793,v2LN31_R,v2LN31,ALLN_sparse,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),14,2891,0.484261501,13356,0.104821803
1820721562,v2LN32_R,v2LN32,ALLN_sparse,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),2,2891,0.069180214,13356,0.014974543
5813078133,v2LN33_R,v2LN33,ALLN_sparse,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),1,2891,0.034590107,13356,0.007487272
1759674685,v2LN34a_R,v2LN34A,ALLN_regional,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),6,2891,0.207540643,13356,0.04492363
1857830017,v2LN34a_R,v2LN34A,ALLN_regional,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),1,2891,0.034590107,13356,0.007487272
5901198734,v2LN34a_R,v2LN34A,ALLN_regional,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),4,2891,0.138360429,13356,0.029949087
5813002250,v2LN34b_R,v2LN34B,ALLN_sparse,5901206553,il3LN6_L,il3LN6,ALLN_broad,AL(R),1,2891,0.034590107,13356,0.007487272
