bodyid,pre,post,upstream,downstream,status,name,voxels,soma,side,connectivity.type,cell.type,group,anatomy.group,class,cellBodyFiber,layer,ct.layer,axon.outputs,dend.outputs,axon.inputs,dend.inputs,total.length,axon.length,dend.length,pd.length,segregation_index,notes,ALR_n_inputs,ALR_n_ipsi_inputs,ALR_n_contra_inputs,ALL_n_inputs,ALL_n_ipsi_inputs,ALL_n_contra_inputs
1642623277,2380,7835,7835,9276,Traced,lLN1_b_R,3040572158,True,right,lLN1_b,lLN1,lLN1,l_LN_broad_,ALLN_broad,AVM02,3.123,3,7057,2161,5937,1878,10803.3641623913,6780.79496442595,2149.4199569644,76.0924339271612,3.43217391001183e-05,Type: broad LN belonging to the LN1 type (Tanaka et al. 2012). Group: broad LN belonging to the LN1 type (Tanaka et al. 2012),280,174,106,0,0,0
5813054622,2561,9044,9044,10063,Traced,lLN1_b_R,3200837479,True,right,lLN1_b,lLN1,lLN1,l_LN_broad_,ALLN_broad,AVM02,3.129,3,6587,3430,5693,3332,12336.2716946293,6559.4039818025,3614.03923675067,61.7470596717597,0.0005640418743402,Type: broad LN belonging to the LN1 type (Tanaka et al. 2012). Group: broad LN belonging to the LN1 type (Tanaka et al. 2012),132,97,35,0,0,0
1670278227,180,271,271,1044,Traced,lLN11_R,374311991,True,right,lLN11,lLN11,lLN10-17,l_LN_regional_,ALLN_regional,AVM02,2.187,2,1038,5,110,160,1372.66817379795,717.893513132479,440.538674166995,39.3126911993526,0.423012332532157,Type: weak regional or sparse LNs with a similar split into two main branches close to the soma. Group: weak regional or sparse LNs with a similar split into two main branches close to the soma,55,36,19,0,0,0
1979569670,107,185,185,535,Traced,lLN11_R,272263306,True,right,lLN11,lLN11,lLN10-17,l_LN_regional_,ALLN_regional,AVM02,2.695,2,431,89,103,71,886.728404007608,328.465711153641,333.355104700163,118.997320314053,0.0487663589161745,Type: weak regional or sparse LNs with a similar split into two main branches close to the soma. Group: weak regional or sparse LNs with a similar split into two main branches close to the soma,33,15,18,0,0,0
2040301572,199,393,393,1120,Traced,lLN11_R,373298262,True,right,lLN11,lLN11,lLN10-17,l_LN_regional_,ALLN_regional,AVM02,2.141,2,216,814,29,324,1437.41543326613,160.300071239094,918.722654470974,107.007236556958,0.0212535487960958,Type: weak regional or sparse LNs with a similar split into two main branches close to the soma. Group: weak regional or sparse LNs with a similar split into two main branches close to the soma,107,84,23,0,0,0
1826445251,208,390,390,1236,Traced,lLN12a_R,394413878,True,right,lLN12A,lLN12A,lLN10-17,l_LN_regional_,ALLN_regional,AVM02,2.213,2,1221,9,166,211,1667.83373963896,788.073478262678,597.583386252173,32.2789178745013,0.376745693428388,Type: regional LNs that innervate the same area of the AL. Group: regional LNs that innervate the same area of the AL,107,82,25,0,0,0
1919208947,184,352,352,1024,Traced,lLN12a_R,339736626,True,right,lLN12A,lLN12A,lLN10-17,l_LN_regional_,ALLN_regional,AVM02,2.431,2,1013,6,192,155,1355.21278484486,696.669322607495,384.896860832813,66.9444767952163,0.284234027252489,Type: regional LNs that innervate the same area of the AL. Group: regional LNs that innervate the same area of the AL,38,23,15,0,0,0
1918565786,205,292,292,1181,Traced,lLN12a_R,334366635,True,right,lLN12A,lLN12A,lLN10-17,l_LN_regional_,ALLN_regional,AVM02,2.254,2,679,480,119,157,1282.51068889542,378.656593685387,498.742803577882,159.441162417668,0.0152905912786279,Type: regional LNs that innervate the same area of the AL. Group: regional LNs that innervate the same area of the AL,45,31,14,0,0,0
1825789179,599,1625,1625,4209,Traced,lLN10_R,1236685277,True,right,lLN10,lLN10,lLN10-17,l_LN_regional_,ALLN_regional,AVM02,2.493,2,2831,1242,897,690,3901.51950780992,1614.13221726861,1155.97260390494,115.600540700426,0.0124911087495113,Type: unique regional LN. Group: unique regional LN,182,162,20,0,0,0
1946178096,2012,8727,8727,7964,Traced,lLN2P_b(Patchy)_R,2945708622,True,right,lLN2P_b,lLN2P,lLN2P,l_LN_patchy_,ALLN_patchy,AVM02,2.31,2,2770,5193,2808,5909,11810.9800597994,2810.83846193605,5779.89035456553,104.699783579428,0.0005358559191435,Type: patchy LNs belonging to the LN2 type (Tanaka et al. 2012). Group: patchy LNs belonging to the LN2 type (Tanaka et al. 2012),2011,1167,844,0,0,0
