combined_LN_type,broad_LN_group,glomerulus,n_ln_body_ids,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,source_LN_instances,combined_LN_type_mean_preference,type_order
il3LN6,il3LN,DA1,2,2260.0,359.0,1901.0,0.6823008849557523,0.6824522941794318,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,DC1,2,483.0,127.0,356.0,0.474120082815735,0.476390183286735,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,DC2,2,401.0,31.0,370.0,0.8453865336658354,0.8615499084249084,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,DC4,2,625.0,79.0,546.0,0.7472,0.7457750490537376,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,DL1,2,538.0,76.0,462.0,0.7174721189591078,0.7218465436693324,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,DL2d,2,206.0,23.0,183.0,0.7766990291262136,0.7899740708729472,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,DL2v,2,541.0,88.0,453.0,0.6746765249537893,0.6710770594918118,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,DL3,1,160.0,40.0,120.0,0.5,0.5,il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,DL5,2,373.0,58.0,315.0,0.6890080428954424,0.6740139893022983,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,DM1,2,1175.0,207.0,968.0,0.6476595744680851,0.6552637460210079,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,DM2,2,274.0,61.0,213.0,0.5547445255474452,0.5493718257150494,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,DM3,2,229.0,43.0,186.0,0.6244541484716157,0.6254868359557564,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,DM4,2,580.0,139.0,441.0,0.5206896551724138,0.5124638194813633,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,DM6,1,278.0,42.0,236.0,0.697841726618705,0.697841726618705,il3LN6_L,0.6592634094863241,0
il3LN6,il3LN,DP1l,2,982.0,193.0,789.0,0.6069246435845214,0.6072474453983845,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,DP1m,2,1723.0,337.0,1386.0,0.6088218224027858,0.5997913402016026,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,VC1,2,387.0,34.0,353.0,0.8242894056847545,0.8248940621144665,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,VC3,2,166.0,46.0,120.0,0.4457831325301205,0.4712498019958815,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,VL2a,2,663.0,74.0,589.0,0.7767722473604827,0.7782103825136613,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,VL2p,2,512.0,78.0,434.0,0.6953125,0.692545145855842,il3LN6_L;il3LN6_R,0.6592634094863241,0
il3LN6,il3LN,VM7v,2,128.0,17.0,111.0,0.734375,0.740125786163522,il3LN6_L;il3LN6_R,0.6592634094863241,0
lLN2S,lLN2S,DA1,4,176.0,27.0,149.0,0.6931818181818182,0.6758310668840188,lLN2S(Star)_R,0.5718404552659705,1
lLN2S,lLN2S,DC1,4,136.0,52.0,84.0,0.23529411764705882,0.25067099567099566,lLN2S(Star)_R,0.5718404552659705,1
lLN2S,lLN2S,DC2,3,122.0,19.0,103.0,0.6885245901639344,0.6918597742127154,lLN2S(Star)_R,0.5718404552659705,1
lLN2S,lLN2S,DC4,6,253.0,66.0,187.0,0.4782608695652174,0.47223678154190957,lLN2S(Star)_R,0.5718404552659705,1
lLN2S,lLN2S,DL1,6,399.0,77.0,322.0,0.6140350877192983,0.6030574380883357,lLN2S(Star)_R,0.5718404552659705,1
lLN2S,lLN2S,DL2d,6,255.0,40.0,215.0,0.6862745098039216,0.6895648949815616,lLN2S(Star)_R,0.5718404552659705,1
lLN2S,lLN2S,DL2v,5,221.0,40.0,181.0,0.6380090497737556,0.6544761904761904,lLN2S(Star)_R,0.5718404552659705,1
lLN2S,lLN2S,DL5,6,436.0,45.0,391.0,0.7935779816513762,0.7978758462902098,lLN2S(Star)_R,0.5718404552659705,1
lLN2S,lLN2S,DM1,5,317.0,88.0,229.0,0.444794952681388,0.4082435494779123,lLN2S(Star)_R,0.5718404552659705,1
lLN2S,lLN2S,DM2,2,63.0,12.0,51.0,0.6190476190476191,0.6071428571428572,lLN2S(Star)_R,0.5718404552659705,1
