body_id,LN_instance,LN_type,combined_LN_type,broad_LN_group,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,pn_output_weight_total,ln_total_connections,sum_pn_output_fraction,sum_pn_output_percent,max_glomerulus_pn_output_percent,mean_glomerulus_pn_output_percent,pn_weighted_contra_orn_preference,n_orn_glomeruli,n_pn_glomeruli,n_convergent_glomeruli,orn_support_weight,body_convergence_score,body_score_rank,passes_body_orn_input_filter
1883788812,v2LN50_R,v2LN50,v2LN50,other v2LN,0.0,0.0,0.0,,,37.0,170.0,0.21764705882352942,21.764705882352942,20.588235294117645,7.254901960784313,,0,3,0,0.0,0.0,185,False
2132375072,v2LN49_R,v2LN49,v2LN49,other v2LN,1.0,1.0,0.0,-1.0,-1.0,27.0,214.0,0.1261682242990654,12.616822429906541,12.149532710280374,6.308411214953271,-1.0,1,2,1,0.02,0.0,184,False
2101348562,v2LN49_R,v2LN49,v2LN49,other v2LN,0.0,0.0,0.0,,,5.0,264.0,0.01893939393939394,1.893939393939394,1.893939393939394,1.893939393939394,,0,1,0,0.0,0.0,183,False
2008921702,v2LN45_R,v2LN45,v2LN45,other v2LN,9.0,8.0,1.0,-0.7777777777777778,-0.8571428571428572,8.0,125.0,0.064,6.4,6.4,6.4,,2,1,0,0.18,0.0,176,False
1946851619,v2LN45_R,v2LN45,v2LN45,other v2LN,22.0,22.0,0.0,-1.0,-1.0,20.0,102.0,0.19607843137254902,19.607843137254903,18.627450980392158,9.803921568627452,,1,2,0,0.44,0.0,175,False
5812995404,v2LN44_R,v2LN44,v2LN44,other v2LN,0.0,0.0,0.0,,,64.0,87.0,0.735632183908046,73.5632183908046,72.41379310344827,36.7816091954023,,0,2,0,0.0,0.0,174,False
1790364325,v2LN44_R,v2LN44,v2LN44,other v2LN,0.0,0.0,0.0,,,93.0,152.0,0.6118421052631579,61.18421052631579,59.210526315789465,20.39473684210526,,0,3,0,0.0,0.0,173,False
1978261876,v2LN43_R,v2LN43,v2LN43,other v2LN,1.0,1.0,0.0,-1.0,-1.0,37.0,118.0,0.3135593220338983,31.35593220338983,30.508474576271187,15.677966101694915,,1,2,0,0.02,0.0,172,False
1947563799,v2LN43_R,v2LN43,v2LN43,other v2LN,0.0,0.0,0.0,,,43.0,114.0,0.3771929824561403,37.71929824561403,31.57894736842105,9.429824561403509,,0,4,0,0.0,0.0,171,False
1915155348,v2LN43_R,v2LN43,v2LN43,other v2LN,0.0,0.0,0.0,,,39.0,98.0,0.3979591836734694,39.795918367346935,37.755102040816325,19.897959183673468,,0,2,0,0.0,0.0,170,False
1758323593,v2LN42_R,v2LN42,v2LN42,other v2LN,3.0,2.0,1.0,-0.3333333333333333,-0.3333333333333333,18.0,94.0,0.19148936170212766,19.148936170212767,19.148936170212767,19.148936170212767,,1,1,0,0.06,0.0,168,False
1854419820,v2LN34e_R,v2LN34e,v2LN34e,v2LN34,2.0,2.0,0.0,-1.0,-1.0,43.0,122.0,0.3524590163934426,35.24590163934426,30.327868852459016,8.811475409836065,,2,4,0,0.04,0.0,140,False
2101339904,l2LN22_R,l2LN22,l2LN22,l2LN,0.0,0.0,0.0,,,42.0,533.0,0.07879924953095685,7.879924953095685,7.879924953095685,7.879924953095685,,0,1,0,0.0,0.0,80,False
1824745150,lLN15_R,lLN15,lLN15,other lLN,13.0,8.0,5.0,-0.23076923076923078,-0.0666666666666667,280.0,434.0,0.6451612903225806,64.51612903225806,32.25806451612903,2.932551319648094,-0.65,5,22,5,0.26,0.0,99,False
1887160257,lLN15_R,lLN15,lLN15,other lLN,16.0,11.0,5.0,-0.375,-0.2666666666666667,224.0,322.0,0.6956521739130435,69.56521739130434,16.149068322981368,2.898550724637681,-0.19047619047619052,5,24,5,0.32,0.0,100,False
