combined_LN_type,broad_LN_group,n_ln_body_ids,source_LN_types,source_LN_instances,orn_input_total,pn_output_weight_total,mean_pn_output_weight_total,median_pn_output_weight_total,mean_contra_orn_preference_weighted,median_contra_orn_preference_weighted,mean_sum_pn_output_percent,median_sum_pn_output_percent,mean_max_glomerulus_pn_output_percent,mean_pn_weighted_contra_orn_preference,mean_body_convergence_score,sum_body_convergence_score,type_score_rank
il3LN6,il3LN,2,il3LN6,il3LN6_L;il3LN6_R,12758.0,3850.0,1925.0,1925.0,0.6587221002588273,0.6587221002588273,28.711704737130283,28.711704737130283,7.821914199891829,0.4868623454317718,4.980643345044764,9.961286690089528,1
lLN2S,lLN2S,6,lLN2S,lLN2S(Star)_R,5305.0,6631.0,1105.1666666666667,1180.5,0.582079669085152,0.5780009526833916,27.02168857639811,26.57885822323565,5.389019632973007,0.4715018206712946,4.068337807756599,24.41002684653959,2
lLN2F,lLN2F,4,lLN2F_a;lLN2F_b,lLN2F_a(Full)_R;lLN2F_b(Full)_R,22072.0,6791.0,1697.75,1723.5,0.4786078471781905,0.4892859192810403,12.45571157026539,12.138622949800624,2.257887971369745,0.3714723174211287,3.557484046407107,14.229936185628429,3
l2LN18,l2LN,1,l2LN18,l2LN18_R,1284.0,2046.0,2046.0,2046.0,0.454828660436137,0.454828660436137,35.6383905242989,35.6383905242989,5.434593276432677,0.2871435230890294,3.4676731012665054,3.4676731012665054,4
lLN2T,lLN2T,16,lLN2T_a;lLN2T_b;lLN2T_c;lLN2T_d;lLN2T_e,lLN2T_a(Tortuous)_R;lLN2T_b(Tortuous)_R;lLN2T_c(Tortuous)_R;lLN2T_d(Tortuous)_R;lLN2T_e(Tortuous)_R,29471.0,26552.0,1659.5,1676.5,0.3480590108122789,0.3316747565516038,32.10006037889811,31.9558935694012,5.778137241515906,0.2490239277866226,2.5441187068906124,40.7058993102498,5
lLN2R,lLN2R,5,lLN2R_a;lLN2R_b,lLN2R_a(Regional)_R;lLN2R_b(Regional)_R,2558.0,2693.0,538.6,553.0,0.3373191349086436,0.4256410256410256,27.801013400657887,20.000000000000004,7.380144866429896,0.2650270005727783,2.3043635131845313,11.521817565922657,6
v2LN30,v2LN3,1,v2LN30,v2LN30_R,1563.0,5169.0,5169.0,5169.0,0.2642354446577095,0.2642354446577095,83.22331347609082,83.22331347609082,19.35276123007567,0.0016637789797713,2.259378983095663,2.259378983095663,7
lLN16b,other lLN,4,lLN16b,lLN16b_R,139.0,415.0,103.75,87.5,0.5172443303380403,0.6157894736842104,68.37718266249668,64.56490883284202,56.11626558173555,0.4690065712622104,1.5815539879881682,6.326215951952673,8
v2LN35,v2LN3,3,v2LN35,v2LN35_R,302.0,352.0,117.33333333333331,87.0,0.3826734413447097,0.3684210526315789,18.918445836284565,14.846416382252558,11.149626762172948,0.3723290826762122,1.5238275521389262,4.571482656416778,9
lLN13,other lLN,1,lLN13,lLN13_R,25.0,206.0,206.0,206.0,0.52,0.52,66.66666666666667,66.66666666666667,38.83495145631068,0.4583333333333333,1.386506886248996,1.386506886248996,10
lLN2P,lLN2P,14,lLN2P_a;lLN2P_b;lLN2P_c,lLN2P_a(Patchy)_R;lLN2P_b(Patchy)_R;lLN2P_c(Patchy)_R,12799.0,16426.0,1173.2857142857142,1123.0,0.178857989333283,0.2046777576883453,50.57212897643801,53.824759000590205,20.12532354986632,0.0713884148927502,1.262504593672528,17.67506431141539,11
lLN1,lLN1,16,lLN1_a;lLN1_b;lLN1_c,lLN1_a_R;lLN1_b_R;lLN1_c_R,2196.0,24663.0,1541.4375,1512.0,0.0705167087983767,0.0520889853499728,36.72276226908608,36.06207337166684,7.154707410993845,-0.0173317631089075,0.676563734427331,10.825019750837296,12
lLN12a,other lLN,3,lLN12a,lLN12a_R,113.0,938.0,312.6666666666667,299.0,-0.025865126412322,-0.1176470588235294,80.55377007018619,74.5635910224439,18.797588229329023,-0.2118376493376493,0.5323530309679121,1.5970590929037365,13
lLN11,other lLN,3,lLN11,lLN11_R,114.0,612.0,204.0,235.0,0.0624265179959798,0.0909090909090909,61.00296079920017,66.19718309859155,19.358712909152604,-0.146534697318689,0.2369891452967063,0.710967435890119,14
lLN12b,other lLN,1,lLN12b,lLN12b_R,30.0,366.0,366.0,366.0,0.0666666666666666,0.0666666666666666,65.12455516014235,65.12455516014235,18.505338078291818,0.2383241758241758,0.2362144739221828,0.2362144739221828,15
v2LN3b,v2LN3,3,v2LN3b,v2LN3b_R,774.0,670.0,223.33333333333337,208.0,-0.3602903400560929,-0.4878048780487805,24.853148535336103,24.74977252047316,12.118110127664268,-0.4381820056386872,0.1429190048448062,0.4287570145344187,16
v2LN47,other v2LN,3,v2LN47,v2LN47_R,167.0,52.0,17.333333333333332,22.0,-0.1031674208144796,-0.0153846153846153,31.606837606837605,26.666666666666668,30.866096866096864,0.1176470588235294,0.1262304245046353,0.3786912735139059,17
v2LN45,other v2LN,1,v2LN45,v2LN45_R,35.0,15.0,15.0,15.0,-1.0,-1.0,15.151515151515152,15.151515151515152,15.151515151515152,,0.0,0.0,26
v2LN3a,v2LN3,4,v2LN3a,v2LN3a_R,1413.0,492.0,123.0,117.0,-0.7325293951236829,-0.7093012144897901,19.014913621285626,20.197044334975367,13.475610667114664,-0.6384946138903593,0.0,0.0,19
v2LN37,v2LN3,1,v2LN37,v2LN37_R,422.0,362.0,362.0,362.0,-0.6682464454976303,-0.6682464454976303,30.292887029288707,30.292887029288707,18.242677824267783,-0.668136754913087,0.0,0.0,20
