dataset,input_preference_rows,input_preference_ln_types,body_summary_rows,body_summary_ln_types,raw_combined_ln_types,combined_ln_types,glomerulus_rows,unique_glomeruli,total_orn_inputs_body_summary,total_ipsi_orn_inputs_body_summary,total_contra_orn_inputs_body_summary,contra_over_total_body_summary,mean_body_contra_preference,median_body_contra_preference,orn_input_weighted_body_contra_preference,fraction_bodies_positive_contra_preference,fraction_bodies_gt_0p5_contra_preference,total_pn_output_weight_body_summary,median_pn_output_weight_body_summary,mean_body_convergence_score,median_body_convergence_score
hemibrain,978,22,117,45,35,35,4228,50,101647.0,36041.0,65606.0,0.6454297716607474,0.0013106601476098627,0.0827740492170022,0.290859543321495,0.5982905982905983,0.17094017094017094,106481.0,865.0,1.2879657908583562,0.5034899023201871
flywire,4314,75,286,66,56,56,10247,50,236465.0,71153.0,165312.0,0.6990971179667181,0.031257603415623746,0.25,0.3981942359334362,0.5909090909090909,0.22727272727272727,304721.0,826.0,1.8229929198303723,1.3367226184102696
