body_id,LN_instance,LN_type,combined_LN_type,broad_LN_group,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,pn_output_weight_total,ln_total_connections,sum_pn_output_fraction,sum_pn_output_percent,max_glomerulus_pn_output_percent,mean_glomerulus_pn_output_percent,pn_weighted_contra_orn_preference,n_orn_glomeruli,n_pn_glomeruli,n_convergent_glomeruli,orn_support_weight,body_convergence_score,body_score_rank,passes_body_orn_input_filter,analysis_body_id,source_root_id,analysis_hemisphere,primary_flywire_name,comparison_name,recommended_match_group,comparison_LN_class,hemibrain_type_names,hemibrain_family_names,all_names,cell_type,hemibrain_type,top_nt,top_nt_conf,known_nt,known_nt_source
7205759406327955321,lLN2F_b_L,lLN2F_b,lLN2F,lLN2F,8134.0,1008.0,7126.0,0.7521514629948365,0.7578263052573007,1892.0,46082.0,0.041057245779263,4.1057245779263045,0.6531834555791849,0.085535928706798,0.7389673415859357,47,48,45,1.0,5.675673377071384,12,True,7205759406327955321,720575940632795532,L,lLN2F_b,lLN2F_b,lLN2F,lLN2F,lLN2F_b,lLN2F,AL local neuron;ALLN;DABAF LN - previously identified but when adding new pieces;lLN2F_b;previous identifications were removed,,lLN2F_b,gaba,0.5732033580551936,,
7205759406199311191,lLN2X11_L,lLN2X11,lLN2X11,other lLN,1042.0,123.0,919.0,0.763915547024952,0.7130578759380254,1588.0,12175.0,0.1304312114989733,13.04312114989733,1.322381930184805,0.2775132159552623,0.7277529107886559,44,47,42,1.0,5.630714676164325,13,True,7205759406199311191,720575940619931119,L,lLN2X11,lLN2X11,lLN2X11,lLN2X11,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X11;right,lLN2X11,,serotonin,0.3904619675448708,,
7205759406092828252,lLN2F_b_R,lLN2F_b,lLN2F,lLN2F,7939.0,1027.0,6912.0,0.7412772389469706,0.7575742896298323,1958.0,43356.0,0.0451609927115047,4.516099271150475,0.7219300673493865,0.0903219854230095,0.7158560479363073,46,50,46,1.0,5.6190218824289735,14,True,7205759406092828252,720575940609282825,R,lLN2F_b,lLN2F_b,lLN2F,lLN2F,lLN2F_b,lLN2F,AL local neuron;ALLN;lLN2F_b,,lLN2F_b,gaba,0.5423415890458635,,
7205759406517588382,lLN2X07_R,lLN2X07,lLN2X07,other lLN,471.0,33.0,438.0,0.8598726114649682,0.7958680196672376,598.0,5763.0,0.1037653999652958,10.376539996529583,2.411938226618081,0.3347270966622447,0.8790089536993123,19,31,18,1.0,5.4991102913731575,15,True,7205759406517588382,720575940651758838,R,lLN2X07,lLN2X07,lLN2X07,lLN2X07,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X07;left,lLN2X07,,acetylcholine,0.5023294040655425,,
7205759406302254032,lLN2X12_R,lLN2X12,lLN2X12,other lLN,649.0,74.0,575.0,0.7719568567026194,0.7690921880677684,1065.0,7354.0,0.1448191460429698,14.48191460429698,2.379657329344574,0.3081258426446166,0.7953186890931284,41,47,40,1.0,5.381827382076457,16,True,7205759406302254032,720575940630225403,R,lLN2X12,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;lLN2X12,lLN2X12,,acetylcholine,0.4017679000012679,,
7205759406280599782,lLN2X11_R,lLN2X11,lLN2X11,other lLN,1048.0,144.0,904.0,0.7251908396946565,0.7265302068552337,1608.0,12508.0,0.1285577230572433,12.855772305724336,1.7988487368084425,0.2735270703345603,0.7157850688143316,43,47,43,1.0,5.354350946292186,17,True,7205759406280599782,720575940628059978,R,lLN2X11,lLN2X11,lLN2X11,lLN2X11,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X11;left,lLN2X11,,serotonin,0.4201109588904385,,
7205759406277373651,lLN2X10_L,lLN2X10,lLN2X10,other lLN,478.0,58.0,420.0,0.7573221757322176,0.763745173117784,1172.0,7092.0,0.1652566271855611,16.525662718556116,2.143260011280316,0.3372584228276759,0.7496562165244008,43,49,42,1.0,5.352238044377737,18,True,7205759406277373651,720575940627737365,L,lLN2X10,lLN2X10,lLN2X10,lLN2X10,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X10;right,lLN2X10,,acetylcholine,0.4717928547936066,,
7205759406279275731,lLN2X04_L,lLN2X04,lLN2X04,other lLN,1213.0,188.0,1025.0,0.6900247320692497,0.6949246326533063,2298.0,13911.0,0.1651930127237438,16.519301272374378,1.4808424987420026,0.3441521098411328,0.712245053921805,46,48,45,1.0,5.3409498039792105,19,True,7205759406279275731,720575940627927573,L,lLN2X04,lLN2X04,lLN2X04,lLN2X04,,,AL local neuron;ALLN;lLN2X04,lLN2X04,,gaba,0.3714162544722526,,
7205759406332124411,lLN2X07_L,lLN2X07,lLN2X07,other lLN,683.0,59.0,624.0,0.8272327964860908,0.7612573712700924,607.0,6098.0,0.0995408330600196,9.954083306001968,2.197441784191538,0.3110651033125615,0.7625762056324616,23,32,22,1.0,5.302706893573769,20,True,7205759406332124411,720575940633212441,L,lLN2X07,lLN2X07,lLN2X07,lLN2X07,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X07;right,lLN2X07,,acetylcholine,0.4736402461462959,,
7205759406602174731,lLN2X11_L,lLN2X11,lLN2X11,other lLN,1005.0,157.0,848.0,0.6875621890547263,0.7248157649214312,1961.0,13527.0,0.1449693206180232,14.496932061802324,2.0847194499889112,0.3020194179542151,0.696723027820751,43,48,42,1.0,5.2129037525637685,21,True,7205759406602174731,720575940660217473,L,lLN2X11,lLN2X11,lLN2X11,lLN2X11,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X11;right,lLN2X11,,serotonin,0.3560207193788243,,
7205759406371367522,lLN2X04_R,lLN2X04,lLN2X04,other lLN,1571.0,261.0,1310.0,0.6677275620623806,0.6393055694700956,2387.0,14799.0,0.161294682073113,16.129468207311305,1.5203729981755525,0.3360305876523188,0.6387965317264113,46,48,45,1.0,5.193726185081862,22,True,7205759406371367522,720575940637136752,R,lLN2X04,lLN2X04,lLN2X04,lLN2X04,,,AL local neuron;ALLN;lLN2X04,lLN2X04,,gaba,0.3797052378598694,,
7205759406126375542,lLN2X12_R,lLN2X12,lLN2X12,other lLN,816.0,111.0,705.0,0.7279411764705882,0.7480941315035616,1245.0,9329.0,0.1334548183085004,13.34548183085004,1.597170114696109,0.2780308714760424,0.750274858712342,45,48,44,1.0,5.188541737024944,23,True,7205759406126375542,720575940612637554,R,lLN2X12,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;left,lLN2X12,,acetylcholine,0.2755822890101408,,
7205759406172991312,lLN2X05_R,lLN2X05,lLN2X05,other lLN,740.0,117.0,623.0,0.6837837837837838,0.7342675337540824,1796.0,11419.0,0.1572817234433838,15.728172344338384,2.189333566862247,0.3419167900943126,0.7051263004250671,40,46,40,1.0,5.124189441503352,24,True,7205759406172991312,720575940617299131,R,lLN2X05,lLN2X05,lLN2X05,lLN2X05,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X05;left,lLN2X05,,serotonin,0.3807251977802746,,
7205759406213982541,lLN2X04_L,lLN2X04,lLN2X04,other lLN,1506.0,262.0,1244.0,0.6520584329349269,0.661551150784235,2554.0,15010.0,0.1701532311792138,17.015323117921387,1.6655562958027983,0.3472514922024773,0.6686803981538791,44,49,44,1.0,5.1159249452791,25,True,7205759406213982541,720575940621398254,L,lLN2X04,lLN2X04,lLN2X04,lLN2X04,,,AL local neuron;ALLN;lLN2X04,lLN2X04,,gaba,0.3724250376482724,,
7205759406082413651,lLN2X10_L,lLN2X10,lLN2X10,other lLN,356.0,43.0,313.0,0.7584269662921348,0.6498872734818637,799.0,5478.0,0.1458561518802482,14.585615188024828,2.5921869295363273,0.3241247819561073,0.7040279595838558,38,45,38,1.0,5.069789793456012,26,True,7205759406082413651,720575940608241365,L,lLN2X10,lLN2X10,lLN2X10,lLN2X10,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X10;right,lLN2X10,,acetylcholine,0.4082160640876501,,
7205759406316199211,lLN2X12_L,lLN2X12,lLN2X12,other lLN,963.0,135.0,828.0,0.719626168224299,0.6685633531345165,1143.0,8641.0,0.1322763569031362,13.227635690313624,1.863210276588358,0.3006280838707642,0.6717965636027455,41,44,39,1.0,5.067813413451964,27,True,7205759406316199211,720575940631619921,L,lLN2X12,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;right,lLN2X12,,acetylcholine,0.492647776253261,,
7205759406404158592,lLN2X07_R,lLN2X07,lLN2X07,other lLN,530.0,56.0,474.0,0.7886792452830189,0.7784403342458317,594.0,5196.0,0.1143187066974595,11.431870669745958,1.9630484988452657,0.3362314902866458,0.7321554290252154,28,34,28,1.0,5.0385257877699505,28,True,7205759406404158592,720575940640415859,R,lLN2X07,lLN2X07,lLN2X07,lLN2X07,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X07;left,lLN2X07,,acetylcholine,0.4606171495385129,,
7205759406244351282,lLN2X11_R,lLN2X11,lLN2X11,other lLN,947.0,158.0,789.0,0.6663146779303062,0.6206784203172431,1867.0,12890.0,0.1448409619860357,14.484096198603568,1.5128006206361522,0.3081722595447567,0.5885916929416953,45,47,44,1.0,5.019097680523469,29,True,7205759406244351282,720575940624435128,R,lLN2X11,lLN2X11,lLN2X11,lLN2X11,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X11;left,lLN2X11,,serotonin,0.4790749727423471,,
7205759406205653131,lLN2X12_L,lLN2X12,lLN2X12,other lLN,692.0,99.0,593.0,0.7138728323699421,0.7379461092443997,1108.0,8452.0,0.1310932323710364,13.109323237103643,1.7392333175579744,0.2849852877631227,0.7225115856746577,43,46,42,1.0,5.005115187501563,30,True,7205759406205653131,720575940620565313,L,lLN2X12,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;right,lLN2X12,,acetylcholine,0.3210379801385865,,
7205759406231367171,lLN2X12_L,lLN2X12,lLN2X12,other lLN,746.0,106.0,640.0,0.7158176943699732,0.6541510152468192,1050.0,7965.0,0.1318267419962335,13.182674199623351,1.9083490269930947,0.2804824297792203,0.6566057730873504,41,47,41,1.0,4.98029972660629,31,True,7205759406231367171,720575940623136717,L,lLN2X12,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;right,lLN2X12,,acetylcholine,0.2784012274175437,,
7205759406116715061,lLN2X05_L,lLN2X05,lLN2X05,other lLN,549.0,91.0,458.0,0.668488160291439,0.6256391818346764,1543.0,10663.0,0.1447059926849855,14.47059926849855,2.0350745568789272,0.3145782449673597,0.6486250277484968,38,46,38,1.0,4.90812813319598,32,True,7205759406116715061,720575940611671506,L,lLN2X05,lLN2X05,lLN2X05,lLN2X05,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X05;right,lLN2X05,,serotonin,0.3528227071489639,,
7205759406248327432,lLN2X12_R,lLN2X12,lLN2X12,other lLN,782.0,123.0,659.0,0.6854219948849105,0.6261114995753745,1210.0,8737.0,0.1384914730456678,13.849147304566785,1.83129220556255,0.2769829460913356,0.6561429641188613,45,50,45,1.0,4.865949021156595,33,True,7205759406248327432,720575940624832743,R,lLN2X12,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;left,lLN2X12,,acetylcholine,0.3162455339187331,,
7205759406167583222,lLN2X04_R,lLN2X04,lLN2X04,other lLN,1282.0,244.0,1038.0,0.6193447737909517,0.6039173196202358,2501.0,15212.0,0.164409676571128,16.440967657112804,1.663160662634762,0.3355299521859756,0.6032170812598103,43,49,42,1.0,4.8462772844581306,34,True,7205759406167583222,720575940616758322,R,lLN2X04,lLN2X04,lLN2X04,lLN2X04,,,AL local neuron;ALLN;lLN2X04,lLN2X04,,gaba,0.3594127439650376,,
7205759406318992231,lLN2X05_L,lLN2X05,lLN2X05,other lLN,537.0,91.0,446.0,0.6610800744878957,0.6695283547869755,1462.0,10757.0,0.135911499488705,13.591149948870507,1.7755879892163242,0.3020255544193445,0.6629816610623643,40,45,38,1.0,4.818113151512373,35,True,7205759406318992231,720575940631899223,L,lLN2X05,lLN2X05,lLN2X05,lLN2X05,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X05;right,lLN2X05,,serotonin,0.3345498737303988,,
7205759406215852792,lLN2X12_R,lLN2X12,lLN2X12,other lLN,861.0,137.0,724.0,0.6817653890824622,0.6623914403262672,1166.0,8517.0,0.1369026652577198,13.690266525771984,1.8198896324997065,0.2738053305154396,0.6761418837583563,47,50,47,1.0,4.814757825960752,36,True,7205759406215852792,720575940621585279,R,lLN2X12,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;left,lLN2X12,,acetylcholine,0.2735647863410876,,
7205759406381284741,lLN2F_a_L,lLN2F_a,lLN2F,lLN2F,4945.0,829.0,4116.0,0.6647118301314459,0.6874657376741403,1391.0,20295.0,0.0685390490268539,6.853904902685391,0.8130081300813009,0.1489979326670737,0.69448312086292,48,46,44,1.0,4.8115144825115825,37,True,7205759406381284741,720575940638128474,L,lLN2F_a,lLN2F_a,lLN2F,lLN2F,lLN2F_a,lLN2F,AL local neuron;ALLN;lLN2F_a,,lLN2F_a,gaba,0.3577182900530919,,
7205759406129071211,lLN2X12_L,lLN2X12,lLN2X12,other lLN,862.0,133.0,729.0,0.691415313225058,0.6529425017432412,988.0,7253.0,0.1362194953812215,13.621949538122156,1.3373776368399284,0.2898287135770671,0.643890770925746,44,47,42,1.0,4.7684800715164,38,True,7205759406129071211,720575940612907121,L,lLN2X12,lLN2X12,lLN2X12,lLN2X12,,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;right,lLN2X12,,serotonin,0.2895058424133054,,
