LN_class,hemibrain_body_observations,hemibrain_orn_input_total,hemibrain_pn_output_weight_total,hemibrain_mean_contra_preference,hemibrain_median_contra_preference,hemibrain_mean_body_score,flywire_body_observations,flywire_orn_input_total,flywire_pn_output_weight_total,flywire_mean_contra_preference,flywire_median_contra_preference,flywire_mean_body_score,flywire_raw_LN_types,flywire_instances,flywire_primary_flywire_names,flywire_recommended_match_groups,flywire_hemibrain_types,flywire_hemibrain_family_names,flywire_source_root_ids,presence
v2LN3a,4,1413.0,492.0,-0.7325293951236829,-0.7093012144897901,0.0,10,3163.0,1704.0,-0.6363555987478103,-0.6670851459324789,0.0,v2LN3A1_a;v2LN3A1_b,v2LN3A1_a_L;v2LN3A1_a_R;v2LN3A1_b_L;v2LN3A1_b_R,v2LN3A1_a;v2LN3A1_b,v2LN3A,v2LN3A,v2LN3A,10,both
v2LN42,1,98.0,79.0,-1.0,-1.0,0.0,2,56.0,404.0,-1.0,-1.0,0.0,v2LN42c,v2LN42c_L;v2LN42c_R,v2LN42c,v2LN42,v2LN42,v2LN42,2,both
v2LN46,3,202.0,83.0,-0.519905825168983,-0.431578947368421,0.0,7,693.0,369.0,-0.4208431832789456,-0.3737373737373737,0.1751134451987674,v2LN46a;v2LN46b,v2LN46a_L;v2LN46b_L;v2LN46b_R,v2LN46a;v2LN46b,v2LN46,v2LN46,v2LN46,7,both
v2LN47,3,167.0,52.0,-0.1031674208144796,-0.0153846153846153,0.1262304245046353,4,218.0,211.0,0.1679532322137956,0.2109064644275912,0.92800978684641,v2LN47,v2LN47_L;v2LN47_R,v2LN47,v2LN47,v2LN47,v2LN47,4,both
vLN24,2,684.0,680.0,-0.096523178807947,-0.096523178807947,0.0,2,218.0,538.0,0.049022468631456095,0.049022468631456095,0.8477788092656233,vLN24,vLN24_L;vLN24_R,vLN24,vLN24,vLN24,vLN24,2,both
vLN25,2,1462.0,598.0,-0.9210259306320296,-0.9210259306320296,0.0,4,3042.0,1549.0,-0.8778192784610177,-0.8779308786988932,0.0,vLN25,vLN25_L;vLN25_R,vLN25,vLN25,vLN25,vLN25,4,both
ALBN1,0,,,,,,2,4404.0,389.0,-0.8964117404840051,-0.8964117404840051,0.0,ALBN1,ALBN1_L;ALBN1_R,ALBN1,ALBN1,ALBN1,ALBN1,2,flywire_only
CB1013,0,,,,,,1,25.0,45.0,-1.0,-1.0,0.0,CB1013,CB1013_L,CB1013,CB1013,,,1,flywire_only
CB1132,0,,,,,,1,28.0,335.0,-0.7142857142857143,-0.7142857142857143,0.0,CB1132,CB1132_L,CB1132,CB1132,,,1,flywire_only
CB1141,0,,,,,,1,47.0,113.0,-0.1914893617021276,-0.1914893617021276,0.0,CB1141,CB1141_R,CB1141,CB1141,,,1,flywire_only
CB1266,0,,,,,,3,2066.0,1164.0,0.07264667454715283,0.0442035029190992,0.4473345325474926,CB1266,CB1266_L;CB1266_R,CB1266,CB1266,,,2,flywire_only
CB1473,0,,,,,,5,232.0,1818.0,0.43971637885923603,0.44,2.155671215796258,CB1473,CB1473_L;CB1473_R,CB1473,CB1473,,,5,flywire_only
CB1546,0,,,,,,4,209.0,1461.0,-0.599425287356322,-0.8555555555555556,0.3319514787888616,CB1546,CB1546_L;CB1546_R,CB1546,CB1546,,,4,flywire_only
CB1676,0,,,,,,4,796.0,1039.0,-0.09372703092770479,-0.071267673136832,0.8173031116464748,CB1676,CB1676_L;CB1676_R,CB1676,CB1676,,,4,flywire_only
CB1686,0,,,,,,8,446.0,3014.0,0.18396582079071305,0.2502381708478882,1.3152275791718413,CB1686,CB1686_L;CB1686_R,CB1686,CB1686,,,8,flywire_only
CB1824,0,,,,,,7,328.0,730.0,0.4619901198492449,0.3953488372093023,1.6962267230153854,CB1824,CB1824_L;CB1824_R,CB1824,CB1824,,,7,flywire_only
CB2471,0,,,,,,5,394.0,680.0,-0.28832942552678426,-0.3191489361702128,0.0,CB2471,CB2471_L;CB2471_R,CB2471,CB2471,,,5,flywire_only
CB2504,0,,,,,,3,136.0,268.0,-0.6116959064327485,-0.6666666666666666,0.0,CB2504,CB2504_L;CB2504_R,CB2504,CB2504,,,3,flywire_only
CB2527,0,,,,,,2,60.0,120.0,-0.11784511784511786,-0.11784511784511786,0.5278575913710345,CB2527,CB2527_L;CB2527_R,CB2527,CB2527,,,2,flywire_only
CB2661,0,,,,,,2,85.0,89.0,-0.935483870967742,-0.935483870967742,0.0,CB2661,CB2661_L,CB2661,CB2661,,,2,flywire_only
CB2822,0,,,,,,1,34.0,59.0,0.4705882352941176,0.4705882352941176,1.3101902599110722,CB2822,CB2822_L,CB2822,CB2822,,,1,flywire_only
CB2845,0,,,,,,2,73.0,260.0,-0.670062695924765,-0.670062695924765,0.0,CB2845,CB2845_L;CB2845_R,CB2845,CB2845,,,2,flywire_only
CB2908,0,,,,,,4,233.0,1200.0,-0.4422655535832612,-0.4262332348260968,0.0,CB2908,CB2908_L;CB2908_R,CB2908,CB2908,,,4,flywire_only
CB3202,0,,,,,,4,214.0,1656.0,-0.26389040338192876,-0.2418181818181818,0.0,CB3202,CB3202_L;CB3202_R,CB3202,CB3202,,,4,flywire_only
CB3326,0,,,,,,1,38.0,134.0,0.5263157894736842,0.5263157894736842,1.9621099113753715,CB3326,CB3326_R,CB3326,CB3326,,,1,flywire_only
CB3417,0,,,,,,2,157.0,566.0,0.42054329371816634,0.42054329371816634,2.374442027578797,CB3417,CB3417_L;CB3417_R,CB3417,CB3417,,,2,flywire_only
CB3633,0,,,,,,3,324.0,170.0,0.21819749405138397,0.2100840336134453,0.8650430345438281,CB3633,CB3633_L;CB3633_R,CB3633,CB3633,,,3,flywire_only
CB3679,0,,,,,,2,269.0,858.0,-0.49456975772765244,-0.49456975772765244,0.0,CB3679,CB3679_L;CB3679_R,CB3679,CB3679,,,2,flywire_only
LN60a,0,,,,,,4,1622.0,6415.0,-0.5866697436903012,-0.5894013153375919,0.0,LN60a,LN60a_L;LN60a_R,LN60a,LN60a,,,2,flywire_only
LN60b,0,,,,,,4,1460.0,6233.0,-0.5639781168201494,-0.6073717948717949,0.0,LN60b,LN60b_L;LN60b_R,LN60b,LN60b,,,2,flywire_only
lLN2X02,0,,,,,,6,8987.0,11083.0,-0.7787782908836385,-0.7835974344463309,0.0,lLN2X02,lLN2X02_L;lLN2X02_R,lLN2X02,lLN2X02,,,6,flywire_only
lLN2X04,0,,,,,,4,5572.0,9740.0,0.6572888752143773,0.6598929974986538,5.124219554699575,lLN2X04,lLN2X04_L;lLN2X04_R,lLN2X04,lLN2X04,,,4,flywire_only
lLN2X05,0,,,,,,4,2401.0,5996.0,0.662903222032084,0.6647841173896674,4.84340456066831,lLN2X05,lLN2X05_L;lLN2X05_R,lLN2X05,lLN2X05,,,4,flywire_only
lLN2X06,0,,,,,,3,1293.0,1262.0,0.7203853888923577,0.7601918465227818,4.354138636576051,lLN2X06,lLN2X06_L;lLN2X06_R,lLN2X06,lLN2X06,,,3,flywire_only
lLN2X07,0,,,,,,3,1684.0,1799.0,0.825261551078026,0.8272327964860908,5.280114324238959,lLN2X07,lLN2X07_L;lLN2X07_R,lLN2X07,lLN2X07,,,3,flywire_only
