combined_LN_type,broad_LN_group,n_ln_body_ids,source_root_ids,source_LN_types,source_LN_instances,source_flywire_LN_types,source_hemibrain_types,source_recommended_match_groups,source_comparison_LN_classes,orn_input_total,pn_output_weight_total,mean_pn_output_weight_total,median_pn_output_weight_total,mean_contra_orn_preference_weighted,median_contra_orn_preference_weighted,orn_input_weighted_contra_preference,mean_sum_pn_output_percent,median_sum_pn_output_percent,mean_max_glomerulus_pn_output_percent,mean_pn_weighted_contra_orn_preference,mean_body_convergence_score,median_body_convergence_score,sum_body_convergence_score,type_score_rank
ALBN1,other,2,2,ALBN1,ALBN1_L;ALBN1_R,ALBN1,ALBN1,ALBN1,ALBN1,4404.0,389.0,194.5,194.5,-0.8964117404840051,-0.8964117404840051,-0.8900999091734787,14.339184399308033,14.339184399308033,7.482156466617472,-0.8605280201954236,0.0,0.0,0.0,30
CB1013,other,1,1,CB1013,CB1013_L,CB1013,,CB1013,CB1013,25.0,45.0,45.0,45.0,-1.0,-1.0,-1.0,6.828528072837633,6.828528072837633,4.704097116843703,-1.0,0.0,0.0,0.0,31
CB1132,other,1,1,CB1132,CB1132_L,CB1132,,CB1132,CB1132,28.0,335.0,335.0,335.0,-0.7142857142857143,-0.7142857142857143,-0.7142857142857143,18.117901568415355,18.117901568415355,3.028664142779881,-0.7770154373927959,0.0,0.0,0.0,32
CB1141,other,1,1,CB1141,CB1141_R,CB1141,,CB1141,CB1141,47.0,113.0,113.0,113.0,-0.1914893617021276,-0.1914893617021276,-0.19148936170212758,15.311653116531163,15.311653116531163,13.956639566395664,0.3333333333333333,0.0,0.0,0.0,33
CB1266,other,3,2,CB1266,CB1266_L;CB1266_R,CB1266,,CB1266,CB1266,2066.0,1164.0,388.0,539.0,0.07264667454715283,0.0442035029190992,0.07938044530493706,10.190076173425721,10.111350574712644,8.09269793605143,0.13488000984958623,0.4473345325474926,0.2781093948261809,1.3420035976424778,27
CB1473,other,5,5,CB1473,CB1473_L;CB1473_R,CB1473,,CB1473,CB1473,232.0,1818.0,363.6,399.0,0.43971637885923603,0.44,0.43103448275862066,26.409266376297477,26.582278481012654,6.082958651904997,0.23352870006344695,2.155671215796258,2.4964435612949925,10.77835607898129,14
CB1546,other,4,4,CB1546,CB1546_L;CB1546_R,CB1546,,CB1546,CB1546,209.0,1461.0,365.25,374.5,-0.599425287356322,-0.8555555555555556,-0.6172248803827751,18.984393566345126,18.915449663915922,7.552598083962268,-0.30539512468056906,0.3319514787888616,0.0,1.3278059151554464,28
CB1676,other,4,4,CB1676,CB1676_L;CB1676_R,CB1676,,CB1676,CB1676,796.0,1039.0,259.75,271.5,-0.09372703092770479,-0.071267673136832,-0.04020100502512564,7.848822641332125,7.83977614243269,2.4499590154027793,-0.03585385068788659,0.8173031116464748,0.6728196608325464,3.2692124465858994,24
CB1686,other,8,8,CB1686,CB1686_L;CB1686_R,CB1686,,CB1686,CB1686,446.0,3014.0,376.75,371.5,0.18396582079071305,0.2502381708478882,0.18834080717488788,26.411067339885268,27.085557790833022,4.845873398641052,0.08663412440037375,1.3152275791718413,1.4603458927357598,10.52182063337473,19
CB1824,other,7,7,CB1824,CB1824_L;CB1824_R,CB1824,,CB1824,CB1824,328.0,730.0,104.28571428571429,98.0,0.46199011984924493,0.3953488372093023,0.43902439024390244,14.544971455614952,15.350389321468295,11.915915639361142,0.3582213563279481,1.6962267230153851,1.727677484094717,11.873587061107695,17
CB2471,other,5,5,CB2471,CB2471_L;CB2471_R,CB2471,,CB2471,CB2471,394.0,680.0,136.0,149.0,-0.2883294255267843,-0.3191489361702128,-0.27918781725888325,13.465381111744644,13.746223564954684,3.8316879985344614,-0.20170909855785904,0.0,0.0,0.0,34
CB2504,other,3,3,CB2504,CB2504_L;CB2504_R,CB2504,,CB2504,CB2504,136.0,268.0,89.33333333333333,86.0,-0.6116959064327485,-0.6666666666666666,-0.6323529411764706,13.836866145412174,13.448735019973368,6.329427407859817,-0.2847351061636776,0.0,0.0,0.0,35
CB2527,other,2,2,CB2527,CB2527_L;CB2527_R,CB2527,,CB2527,CB2527,60.0,120.0,60.0,60.0,-0.11784511784511786,-0.11784511784511786,-0.06666666666666667,6.499041454515471,6.499041454515471,5.434162698494499,-0.52,0.5278575913710345,0.5278575913710345,1.055715182742069,26
CB2661,other,2,2,CB2661,CB2661_L,CB2661,,CB2661,CB2661,85.0,89.0,44.5,44.5,-0.935483870967742,-0.935483870967742,-0.9529411764705882,10.214877139189525,10.214877139189525,7.846483303218898,-0.8333333333333333,0.0,0.0,0.0,36
CB2822,other,1,1,CB2822,CB2822_L,CB2822,,CB2822,CB2822,34.0,59.0,59.0,59.0,0.4705882352941176,0.4705882352941176,0.4705882352941176,7.040572792362769,7.040572792362769,6.085918854415275,0.4583333333333333,1.3101902599110722,1.3101902599110722,1.3101902599110722,20
CB2845,other,2,2,CB2845,CB2845_L;CB2845_R,CB2845,,CB2845,CB2845,73.0,260.0,130.0,130.0,-0.670062695924765,-0.670062695924765,-0.6164383561643836,21.329042586209713,21.329042586209713,16.53707303526798,-0.8741258741258742,0.0,0.0,0.0,37
CB2908,other,4,4,CB2908,CB2908_L;CB2908_R,CB2908,,CB2908,CB2908,233.0,1200.0,300.0,302.5,-0.4422655535832612,-0.4262332348260968,-0.45064377682403434,23.446564526394237,23.755400473496685,4.129284993650518,-0.012531234176735767,0.0,0.0,0.0,38
CB3202,other,4,4,CB3202,CB3202_L;CB3202_R,CB3202,,CB3202,CB3202,214.0,1656.0,414.0,428.0,-0.26389040338192876,-0.2418181818181818,-0.2523364485981308,29.24243715257688,29.450935464323592,4.632160749695766,-0.43977011890768736,0.0,0.0,0.0,39
CB3326,other,1,1,CB3326,CB3326_R,CB3326,,CB3326,CB3326,38.0,134.0,134.0,134.0,0.5263157894736842,0.5263157894736842,0.5263157894736842,12.511671335200749,12.511671335200749,3.6414565826330536,0.5042424242424243,1.9621099113753715,1.9621099113753715,1.9621099113753715,15
CB3417,other,2,2,CB3417,CB3417_L;CB3417_R,CB3417,,CB3417,CB3417,157.0,566.0,283.0,283.0,0.42054329371816634,0.42054329371816634,0.4140127388535032,9.342285427963946,9.342285427963946,3.0881367149675203,0.3396796031645526,2.374442027578797,2.374442027578797,4.748884055157594,12
CB3633,other,3,3,CB3633,CB3633_L;CB3633_R,CB3633,,CB3633,CB3633,324.0,170.0,56.666666666666664,63.0,0.21819749405138397,0.2100840336134453,0.20370370370370366,3.2002159444798273,3.401700850425213,1.935737895290913,0.6392469996128533,0.8650430345438281,0.8895181732347184,2.5951291036314843,22
CB3679,other,2,2,CB3679,CB3679_L;CB3679_R,CB3679,,CB3679,CB3679,269.0,858.0,429.0,429.0,-0.49456975772765244,-0.49456975772765244,-0.43494423791821557,23.108054904014544,23.108054904014544,5.213751879564269,-0.3311361571465029,0.0,0.0,0.0,40
LN60a,other,4,2,LN60a,LN60a_L;LN60a_R,LN60a,,LN60a,LN60a,1622.0,6415.0,1603.75,1549.5,-0.5866697436903012,-0.5894013153375919,-0.5893958076448829,38.799947531826106,38.851398219441265,5.007885923243563,-0.5761572586376154,0.0,0.0,0.0,41
LN60b,other,4,2,LN60b,LN60b_L;LN60b_R,LN60b,,LN60b,LN60b,1460.0,6233.0,1558.25,1485.5,-0.5639781168201494,-0.6073717948717949,-0.6123287671232877,39.56787587207069,38.494525646933205,5.735017410119685,-0.5613659426126968,0.0,0.0,0.0,42
lLN2X02,other lLN,6,6,lLN2X02,lLN2X02_L;lLN2X02_R,lLN2X02,,lLN2X02,lLN2X02,8987.0,11083.0,1847.1666666666667,1852.0,-0.7787782908836385,-0.7835974344463309,-0.7787915878491154,29.16030582986734,29.148504909667906,5.620517998253077,-0.7726034828199823,0.0,0.0,0.0,45
lLN2X04,other lLN,4,4,lLN2X04,lLN2X04_L;lLN2X04_R,lLN2X04,,lLN2X04,lLN2X04,5572.0,9740.0,2435.0,2444.0,0.6572888752143772,0.6598929974986538,0.6572146446518305,16.52626506367997,16.480134464743593,1.582483113838779,0.6557347662654764,5.124219554699575,5.154825565180481,20.4968782187983,7
lLN2X05,other lLN,4,4,lLN2X05,lLN2X05_L;lLN2X05_R,lLN2X05,,lLN2X05,lLN2X05,2401.0,5996.0,1499.0,1502.5,0.662903222032084,0.6647841173896674,0.6643065389421074,14.503181413992678,14.34670168138091,2.184359894699741,0.6739424574569991,4.84340456066831,4.863120642354176,19.37361824267324,8
lLN2X06,other lLN,3,3,lLN2X06,lLN2X06_L;lLN2X06_R,lLN2X06,,lLN2X06,lLN2X06,1293.0,1262.0,420.6666666666667,407.0,0.7203853888923577,0.7601918465227818,0.7277648878576953,7.269855882997401,6.912531376713652,1.927698896416487,0.7889496877157075,4.354138636576052,4.643998562186744,13.062415909728156,9
lLN2X07,other lLN,3,3,lLN2X07,lLN2X07_L;lLN2X07_R,lLN2X07,,lLN2X07,lLN2X07,1684.0,1799.0,599.6666666666666,598.0,0.825261551078026,0.8272327964860908,0.8242280285035629,10.58749799075917,10.376539996529583,2.190809503218295,0.7912468627856631,5.280114324238959,5.302706893573769,15.840342972716877,3
lLN2X09,other lLN,2,2,lLN2X09,lLN2X09_L;lLN2X09_R,lLN2X09,,lLN2X09,lLN2X09,677.0,1696.0,848.0,848.0,0.2814126735951439,0.2814126735951439,0.24667651403249627,20.2471316018598,20.2471316018598,2.769765462387679,0.23835243664815947,1.8897109931711331,1.8897109931711331,3.7794219863422662,16
lLN2X10,other lLN,4,4,lLN2X10,lLN2X10_L;lLN2X10_R,lLN2X10,,lLN2X10,lLN2X10,2271.0,4231.0,1057.75,1068.5,0.7430571647291989,0.7578745710121761,0.7525319242624394,15.248506642686973,14.941374332083473,2.406016427594203,0.736592205883784,5.168607092071468,5.2110139189168745,20.674428368285874,6
lLN2X11,other lLN,4,4,lLN2X11,lLN2X11_L;lLN2X11_R,lLN2X11,,lLN2X11,lLN2X11,4042.0,7024.0,1756.0,1737.5,0.7107458134261602,0.7063765143746914,0.7120237506185056,13.71998042900689,13.763608674250449,1.6796876844045778,0.6822131750913585,5.304266763885937,5.283627349427977,21.217067055543748,2
lLN2X12,other lLN,13,13,lLN2X12,lLN2X12_L;lLN2X12_R,lLN2X12,,lLN2X12,lLN2X12,10242.0,14404.0,1108.0,1108.0,0.7431167162888307,0.719626168224299,0.7346221441124781,13.814116014117765,13.669873797326002,1.8377712029724418,0.7154947171755969,5.207083429625407,5.067813413451964,67.69208458513029,4
lLN9,other lLN,6,6,lLN9,lLN9_L;lLN9_R,lLN9,lLN9,lLN9,lLN9,214.0,968.0,161.33333333333334,162.5,-0.7341147435132397,-0.7735042735042735,-0.7289719626168224,19.853456135052735,18.437069044773374,7.700029581923785,-0.7445723947485633,0.0,0.0,0.0,47
v2LN40_2,other v2LN,4,4,v2LN40_2,v2LN40_2_L;v2LN40_2_R,v2LN40_2,,v2LN40_2,v2LN40_2,711.0,482.0,120.5,121.5,-0.8785011368137654,-0.8921717651529546,-0.9071729957805907,6.863593040131798,6.841367547597407,5.643294152628172,-0.9871811420492962,0.0,0.0,0.0,52
v2LNX01,other v2LN,1,1,v2LNX01,v2LNX01_L,v2LNX01,,v2LNX01,v2LNX01,37.0,282.0,282.0,282.0,-0.4594594594594595,-0.4594594594594595,-0.4594594594594595,12.422907488986784,12.422907488986784,4.669603524229075,-0.5029239766081871,0.0,0.0,0.0,54
vLN28;vLN29,vLN,4,4,vLN28_vLN29,vLN28_vLN29_L;vLN28_vLN29_R,"vLN28,vLN29","vLN28,vLN29",vLN28;vLN29,vLN28;vLN29,2009.0,844.0,211.0,208.5,-0.9155398197886135,-0.9372697758631454,-0.9123942259830762,8.910719513377131,8.844216558819719,7.074680398492136,-0.9154005100682778,0.0,0.0,0.0,56
