level,n_output_synapses,hemispheres,top1_nt,top1_probability,top2_nt,top2_probability,top3_nt,top3_probability,mean_probability_acetylcholine,mean_probability_gaba,mean_probability_glutamate,mean_probability_octopamine,mean_probability_serotonin,mean_probability_dopamine,recommended_match_group,source_root_count,source_roots,primary_flywire_names,hemibrain_types
class,28726,L;R,glutamate,0.34596902034898575,gaba,0.28065381114062415,acetylcholine,0.2613806386485251,0.2613806386485251,0.28065381114062415,0.34596902034898575,0.010415578746257275,0.05643938639012668,0.04514156488898014,ALBN1,2,720575940614756589;720575940628023685,ALBN1,ALBN1
class,6839,L;R,glutamate,0.37453908052837703,acetylcholine,0.2154002868932092,gaba,0.20385607139808026,0.2154002868932092,0.20385607139808026,0.37453908052837703,0.004093082473584752,0.09927701483326687,0.10283446433510093,CB1013,7,720575940606045314;720575940616953467;720575940622792423;720575940623437838;720575940629942343;720575940637845934;720575940638559440,CB1013,
class,5857,L;R,glutamate,0.49688294779640113,acetylcholine,0.23606350579663266,gaba,0.14988850915888713,0.23606350579663266,0.14988850915888713,0.49688294779640113,0.008678896463674871,0.04793119124733245,0.06055495048321466,CB1048,4,720575940620917707;720575940621607093;720575940623280311;720575940627677514,CB1048,
class,7136,L;R,gaba,0.4968793446503361,acetylcholine,0.2886077227509136,glutamate,0.08265850315073407,0.2886077227509136,0.4968793446503361,0.08265850315073407,0.006033102711623847,0.07070468830064898,0.05511663875826513,CB1132,4,720575940609112587;720575940621343838;720575940622961802;720575940644255255,CB1132,
class,3132,L;R,gaba,0.5160633284263649,acetylcholine,0.20566847762853677,glutamate,0.12285173324752204,0.20566847762853677,0.5160633284263649,0.12285173324752204,0.007144152801431744,0.07586433893928884,0.07240796915544652,CB1141,5,720575940623248883;720575940623930211;720575940632803212;720575940637510121;720575940659844225,CB1141,
class,12265,L;R,acetylcholine,0.3598236182015087,glutamate,0.2852248236608473,gaba,0.17172551991713053,0.3598236182015087,0.17172551991713053,0.2852248236608473,0.010133132340014917,0.10188675481840082,0.07120615064590656,CB1266,2,720575940623901695;720575940631526215,CB1266,
class,4478,L;R,gaba,0.5202642754521071,acetylcholine,0.18119377019252694,glutamate,0.1745499790588496,0.18119377019252694,0.5202642754521071,0.1745499790588496,0.0031913634482337795,0.06459524163742926,0.056205370809909186,CB1285,8,720575940618076214;720575940618681168;720575940619954112;720575940621832001;720575940625555749;720575940630575375;720575940633189145;720575940637846947,CB1285,
class,6825,L;R,gaba,0.38495554451629044,acetylcholine,0.3335716777482663,dopamine,0.11292251489727646,0.3335716777482663,0.38495554451629044,0.10813629657476985,0.00414555354271451,0.05626841304901537,0.11292251489727646,CB1473,5,720575940606745266;720575940610426578;720575940613575958;720575940617938752;720575940630723384,CB1473,
class,8777,L;R,glutamate,0.5491967322458001,acetylcholine,0.21054794895811998,gaba,0.12730758788245913,0.21054794895811998,0.12730758788245913,0.5491967322458001,0.007479841441234554,0.045510291147713315,0.05995759823337756,CB1545,6,720575940621251818;720575940622637575;720575940625868440;720575940629617879;720575940631558113;720575940636151391,CB1545,
class,12885,L;R,gaba,0.5395046866293214,acetylcholine,0.280016534918037,glutamate,0.08405889792447334,0.280016534918037,0.5395046866293214,0.08405889792447334,0.006590603007112925,0.05079017783111508,0.039039099930237055,CB1546,7,720575940621089780;720575940628251907;720575940628326417;720575940630864170;720575940632000993;720575940640020944;720575940641609869,CB1546,
class,6776,L;R,glutamate,0.3723699009472087,acetylcholine,0.27673890182179667,gaba,0.1556131735544772,0.27673890182179667,0.1556131735544772,0.3723699009472087,0.007966509754316481,0.09786424438465313,0.08944726952842735,CB1668,7,720575940604662700;720575940605101758;720575940622224836;720575940622592099;720575940624012692;720575940624549820;720575940625119625,CB1668,
class,8801,L;R,glutamate,0.4058769168991836,acetylcholine,0.26723896316985124,gaba,0.161357590063812,0.26723896316985124,0.161357590063812,0.4058769168991836,0.005330088210079716,0.10264270080781454,0.05755374119333836,CB1673,4,720575940620234177;720575940631618920;720575940640559165;720575940652063734,CB1673,
