glomerulus,PD2a1_b1,PV5a1,total_weight
DM1,404,357,761
DP1m,247,407,654
DM4,230,321,551
VA2,193,345,538
mPN,130,231,361
DL2v,88,141,229
VM3,90,132,222
DP1l,98,92,190
VA7l,113,2,115
DM2,9,98,107
DL2d,71,35,106
VA4,57,45,102
DM3,14,54,68
DM6,5,60,65
VM2,19,35,54
VC4,6,35,41
VC2,10,31,41
VC3l,29,10,39
VM1,17,16,33
DM5,18,14,32
VM5d,15,12,27
VM7d,24,2,26
VA3,1,19,20
VM7v,19,1,20
DL5,2,14,16
DC4,13,2,15
V,2,6,8
VM5v,1,1,2
