target_group,glomerulus,neuropil,weight
PV5a1,DM3,LH_R,54
PV5a1,DM4,LH_L,351
PV5a1,DM4,LH_R,321
PV5a1,DM5,LH_L,25
PV5a1,DM5,LH_R,14
PV5a1,DM6,LH_L,70
PV5a1,DM6,LH_R,60
PV5a1,DP1l,LH_L,112
PV5a1,DP1l,LH_R,86
PV5a1,DP1l,SLP_R,6
PV5a1,DP1l,SLP_L,3
PV5a1,DP1m,LH_L,409
PV5a1,DP1m,LH_R,405
PV5a1,DP1m,SLP_R,2
PV5a1,V,LH_L,4
PV5a1,V,LH_R,4
PV5a1,V,SLP_R,2
PV5a1,VA1v,LH_L,8
PV5a1,VA2,LH_L,424
PV5a1,VA2,LH_R,345
PV5a1,VA3,LH_R,19
PV5a1,VA3,LH_L,7
PV5a1,VA4,LH_L,79
PV5a1,VA4,LH_R,45
PV5a1,VA7l,LH_R,2
PV5a1,VA7m,LH_L,37
PV5a1,VA7m,LH_R,33
PV5a1,VC1,LH_R,7
PV5a1,VC1,LH_L,2
PV5a1,VC2,LH_L,44
PV5a1,VC2,LH_R,31
PV5a1,VC3l,LH_L,14
PV5a1,VC3l,LH_R,10
PV5a1,VC3m,LH_L,21
PV5a1,VC3m,LH_R,7
PV5a1,VC4,LH_L,57
PV5a1,VC4,LH_R,34
PV5a1,VC4,SLP_R,1
PV5a1,VC5,LH_R,2
PV5a1,VC5,LH_L,1
PV5a1,VL2a,LH_L,3
PV5a1,VL2p,LH_L,14
PV5a1,VM1,LH_R,16
PV5a1,VM1,LH_L,9
PV5a1,VM2,LH_R,35
PV5a1,VM2,LH_L,23
PV5a1,VM3,LH_L,166
PV5a1,VM3,LH_R,130
PV5a1,VM3,SLP_R,2
PV5a1,VM4,LH_R,4
PV5a1,VM5d,LH_R,12
PV5a1,VM5d,LH_L,6
PV5a1,VM5v,LH_L,5
PV5a1,VM5v,LH_R,1
PV5a1,VM7d,LH_L,4
PV5a1,VM7d,LH_R,2
PV5a1,VM7v,LH_L,18
PV5a1,VM7v,LH_R,1
PV5a1,mPN,LH_R,180
PV5a1,mPN,LH_L,170
PV5a1,mPN,SIP_L,36
PV5a1,mPN,SIP_R,30
PV5a1,mPN,SMP_R,18
PV5a1,mPN,SMP_L,4
PV5a1,mPN,SLP_R,2
PV5a1,mPN,PLP_R,1
