glomerulus,PD2a1_b1,PV5a1,total_weight
DM1,380,453,833
DP1m,224,409,633
VA2,139,424,563
DM4,174,351,525
mPN,134,210,344
VM3,68,166,234
DP1l,113,115,228
DL2v,98,94,192
DM2,24,134,158
VA4,65,79,144
DL2d,63,43,106
DM6,3,70,73
VC4,2,57,59
VC2,6,44,50
DM5,18,25,43
VC3l,25,14,39
VM2,12,23,35
VM7v,9,18,27
VA1v,8,8,16
DC3,4,10,14
DC2,1,12,13
V,8,4,12
VM5d,4,6,10
DC4,9,1,10
VM5v,3,5,8
DL5,1,4,5
VM7d,1,4,5
VL2a,2,3,5
DA1,1,1,2
