id,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,target_id,neuropil,pre_cell_type,pre_hemibrain_type,pre_side,glomerulus,pre_cell_sub_class,target_group,target_cell_type,target_hemibrain_type,target_side
240944680,82685267743777441,720575940619071005,82685267743782571,720575940620993008,240944680,LH_R,,DM1_lPN,right,DM1,uniglomerular,PV5a1,,LHPV5a1,right
240944696,82685267743777441,720575940619071005,82685267743782571,720575940620993008,240944696,LH_R,,DM1_lPN,right,DM1,uniglomerular,PV5a1,,LHPV5a1,right
242347821,82544530255437880,720575940619071005,82544530255446901,720575940630149829,242347821,LH_R,,DM1_lPN,right,DM1,uniglomerular,PD2a1_b1,CB2977,LHPD2a1,right
107217162,82825799006829282,720575940619071005,82825799006825331,720575940617540509,107217162,LH_R,,DM1_lPN,right,DM1,uniglomerular,PV5a1,,LHPV5a1,right
33234689,82333423955759504,720575940619071005,82263055211593185,720575940630991500,33234689,LH_R,,DM1_lPN,right,DM1,uniglomerular,PD2a1_b1,CB3205,LHPD2a1,right
206737221,82755705140412015,720575940640835672,82755705140408278,720575940622484182,206737221,LH_R,CB1296,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,mPN,multiglomerular,PV5a1,,LHPV5a1,right
18439976,82755636554754942,720575940640835672,82755636554737708,720575940636488110,18439976,LH_R,CB1296,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,mPN,multiglomerular,PV5a1,,LHPV5a1,right
143846235,83037111464634137,720575940622726271,83037111464630909,720575940622484182,143846235,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
141740097,82403861486491773,720575940622726271,82403861486486536,720575940627631125,141740097,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,right
115737827,82403792700158619,720575940619071005,82403792700157394,720575940634792884,115737827,LH_R,,DM1_lPN,right,DM1,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,right
42959113,82755499048939918,720575940619071005,82755499048939930,720575940630991500,42959113,LH_R,,DM1_lPN,right,DM1,uniglomerular,PD2a1_b1,CB3205,LHPD2a1,right
45496940,82896373976161933,720575940619071005,82896373976158534,720575940622484182,45496940,LH_R,,DM1_lPN,right,DM1,uniglomerular,PV5a1,,LHPV5a1,right
7125754,82403792766740184,720575940619071005,82403792766737586,720575940617540509,7125754,LH_R,,DM1_lPN,right,DM1,uniglomerular,PV5a1,,LHPV5a1,right
45291093,82544324096836800,720575940619071005,82544324096831314,720575940630991500,45291093,LH_R,,DM1_lPN,right,DM1,uniglomerular,PD2a1_b1,CB3205,LHPD2a1,right
189030102,82544530255149361,720575940619071005,82544530255136061,720575940634792884,189030102,LH_R,,DM1_lPN,right,DM1,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,right
102390407,82755499048890013,720575940619071005,82755499048882545,720575940622484182,102390407,LH_R,,DM1_lPN,right,DM1,uniglomerular,PV5a1,,LHPV5a1,right
32541210,82263123931064254,720575940619071005,82263123931059834,720575940630991500,32541210,LH_R,,DM1_lPN,right,DM1,uniglomerular,PD2a1_b1,CB3205,LHPD2a1,right
107211116,82755430262621159,720575940619071005,82755430262625324,720575940630149829,107211116,LH_R,,DM1_lPN,right,DM1,uniglomerular,PD2a1_b1,CB2977,LHPD2a1,right
102390395,82755499048885043,720575940619071005,82755499048882545,720575940622484182,102390395,LH_R,,DM1_lPN,right,DM1,uniglomerular,PV5a1,,LHPV5a1,right
100980245,82755705207303304,720575940619071005,82755705207299849,720575940645673508,100980245,LH_R,,DM1_lPN,right,DM1,uniglomerular,PD2a1_b1,CB3009,LHPD2a1,right
42261433,82403792766991287,720575940619071005,82403792766998409,720575940631962705,42261433,LH_R,,DM1_lPN,right,DM1,uniglomerular,PV5a1,,LHPV5a1,right
137298334,82614898999728812,720575940622726271,82614898999730922,720575940636488110,137298334,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
7127165,82544530255089519,720575940619071005,82544530255089518,720575940620993008,7127165,LH_R,,DM1_lPN,right,DM1,uniglomerular,PV5a1,,LHPV5a1,right
101734279,82896373976197135,720575940619071005,82896373976173690,720575940634792884,101734279,LH_R,,DM1_lPN,right,DM1,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,right
226162509,82544530188366842,720575940619071005,82544530188365614,720575940620993008,226162509,LH_R,,DM1_lPN,right,DM1,uniglomerular,PV5a1,,LHPV5a1,right
201193304,82333492675148651,720575940619071005,82333492675152197,720575940620814913,201193304,LH_R,,DM1_lPN,right,DM1,uniglomerular,PD2a1_b1,CB3198,LHPD2b1,right
43630673,82544461535871802,720575940619071005,82544461535881003,720575940622484182,43630673,LH_R,,DM1_lPN,right,DM1,uniglomerular,PV5a1,,LHPV5a1,right
94116608,82263123931041772,720575940619071005,82263123931047052,720575940630149829,94116608,LH_R,,DM1_lPN,right,DM1,uniglomerular,PD2a1_b1,CB2977,LHPD2a1,right
216632785,82896305189459784,720575940622726271,82896305189489843,720575940634792884,216632785,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,right
159315572,82685199091052604,720575940607198898,82685199091063205,720575940645673508,159315572,LH_R,CB2589,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",right,mPN,multiglomerular,PD2a1_b1,CB3009,LHPD2a1,right
