target_group,glomerulus,weight,n_pre_roots,n_target_roots
PD2a1_b1,DA1,4,3,2
PD2a1_b1,DC2,1,1,1
PD2a1_b1,DC3,5,3,2
PD2a1_b1,DC4,22,2,2
PD2a1_b1,DL1,3,2,1
PD2a1_b1,DL2d,134,10,14
PD2a1_b1,DL2v,186,8,10
PD2a1_b1,DL5,3,2,2
PD2a1_b1,DM1,784,2,15
PD2a1_b1,DM2,33,4,9
PD2a1_b1,DM3,14,1,4
PD2a1_b1,DM4,404,4,16
PD2a1_b1,DM5,36,5,13
PD2a1_b1,DM6,8,4,4
PD2a1_b1,DP1l,211,3,15
PD2a1_b1,DP1m,471,6,16
PD2a1_b1,V,10,3,3
PD2a1_b1,VA1d,6,3,3
PD2a1_b1,VA1v,12,4,3
PD2a1_b1,VA2,332,2,14
PD2a1_b1,VA3,1,1,1
PD2a1_b1,VA4,122,2,13
PD2a1_b1,VA5,14,5,3
PD2a1_b1,VA6,1,1,1
PD2a1_b1,VA7l,189,2,11
PD2a1_b1,VC2,16,2,7
PD2a1_b1,VC3l,54,7,3
PD2a1_b1,VC4,8,4,4
PD2a1_b1,VL2a,5,2,2
PD2a1_b1,VM1,17,2,1
PD2a1_b1,VM2,31,4,10
PD2a1_b1,VM3,158,4,14
PD2a1_b1,VM5d,19,5,4
PD2a1_b1,VM5v,4,2,2
PD2a1_b1,VM7d,25,4,4
PD2a1_b1,VM7v,28,4,2
PD2a1_b1,VP1m,2,2,2
PD2a1_b1,VP2,2,1,2
PD2a1_b1,VP4,17,3,4
PD2a1_b1,mPN,264,67,16
PV5a1,DA1,1,1,1
PV5a1,DC1,7,2,2
PV5a1,DC2,26,2,3
PV5a1,DC3,10,3,2
PV5a1,DC4,3,2,3
PV5a1,DL2d,78,14,12
PV5a1,DL2v,235,8,11
PV5a1,DL5,18,2,7
PV5a1,DM1,810,2,15
PV5a1,DM2,232,4,15
PV5a1,DM3,54,1,7
PV5a1,DM4,672,3,15
PV5a1,DM5,39,5,6
PV5a1,DM6,130,6,10
PV5a1,DP1l,207,4,15
PV5a1,DP1m,816,6,15
PV5a1,V,10,2,4
PV5a1,VA1v,8,4,3
PV5a1,VA2,769,2,15
PV5a1,VA3,26,4,5
PV5a1,VA4,124,2,14
PV5a1,VA7l,2,1,2
PV5a1,VA7m,70,6,8
PV5a1,VC1,9,2,2
PV5a1,VC2,75,2,14
PV5a1,VC3l,24,5,5
PV5a1,VC3m,28,5,5
PV5a1,VC4,92,5,9
PV5a1,VC5,3,2,2
PV5a1,VL2a,3,1,2
PV5a1,VL2p,14,1,4
PV5a1,VM1,25,4,5
PV5a1,VM2,58,4,13
PV5a1,VM3,298,4,15
PV5a1,VM4,4,1,1
PV5a1,VM5d,18,6,4
PV5a1,VM5v,6,3,2
PV5a1,VM7d,6,2,2
PV5a1,VM7v,19,3,4
PV5a1,mPN,441,49,15
