glomerulus,PD2a1_b1,PV5a1,total_weight
DM1,290,97,387
DP1m,144,82,226
mPN,124,96,220
DM4,128,73,201
VA2,60,74,134
DP1l,92,34,126
VM3,38,54,92
DM2,57,25,82
VA4,54,11,65
DM3,19,40,59
DL2d,33,10,43
DL2v,34,8,42
DM6,11,28,39
VA7l,22,2,24
VM2,8,15,23
VC4,8,12,20
V,13,2,15
VC2,5,8,13
VA3,12,1,13
VM7v,9,3,12
DM5,6,3,9
VC3l,8,1,9
VM7d,8,1,9
DL5,3,2,5
VA1v,4,1,5
DL3,1,1,2
