target_group,bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,target_type,target_instance
PD2a1_b1,736126717,548872750,1,KCab-c,LHPD2b1_a,KCab-c_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 1, 'post': 1}, 'CA(R)': {'pre': 1, 'post': 1}, 'MB(+ACA)(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,736173896,548872750,1,CRE052,LHPD2b1_a,CRE052_R,LHPD2b1_a_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SMP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,736463614,5813089504,1,KCab-m,LHPD2b1_a,KCab-m_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 1, 'post': 1}, 'CA(R)': {'pre': 1, 'post': 1}, 'MB(+ACA)(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,736830579,573337611,1,CRE008,LHPD2a1,CRE008_R,LHPD2a1_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SIP(R)': {'pre': 1}, 'SMP(R)': {'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,736839651,509928512,1,CRE057,LHPD2b1_a,CRE057_R,LHPD2b1_a_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SMP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,736860990,640963556,1,OA-VUMa6,LHPD2a1,OA-VUMa6_R,LHPD2a1_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SIP(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,738531654,509928512,1,SMP208,LHPD2b1_a,SMP208_R,LHPD2b1_a_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SMP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,754534424,5813089504,1,DA1_lPN,LHPD2b1_a,DA1_lPN_R,LHPD2b1_a_R,"{'INP': {'pre': 1, 'post': 1}, 'SCL(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,754538881,5813089504,1,DA1_lPN,LHPD2b1_a,DA1_lPN_R,LHPD2b1_a_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SLP(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,754832123,509928512,1,,LHPD2b1_a,KC part due to gap,LHPD2b1_a_R,"{'MB(R)': {'pre': 1, 'post': 1}, 'CA(R)': {'pre': 1, 'post': 1}, 'MB(+ACA)(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
