target_group,bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,target_type,target_instance
PD2a1_b1,1630051981,548872750,28,VA4_lPN,LHPD2b1_a,VA4_lPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 24, 'post': 24}, 'CA(R)': {'pre': 24, 'post': 24}, 'MB(+ACA)(R)': {'pre': 24, 'post': 24}, 'LH(R)': {'pre': 4, 'post': 4}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,542634818,509928512,27,DM1_lPN,LHPD2b1_a,DM1_lPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 22, 'post': 22}, 'CA(R)': {'pre': 22, 'post': 22}, 'MB(+ACA)(R)': {'pre': 22, 'post': 22}, 'LH(R)': {'pre': 5, 'post': 5}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,573333835,542634516,26,DM4_adPN,LHPD2a1,DM4_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 26, 'post': 26}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,635062078,5813089504,24,DP1m_adPN,LHPD2b1_a,DP1m_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 24, 'post': 24}, 'CA(R)': {'pre': 24, 'post': 24}, 'MB(+ACA)(R)': {'pre': 24, 'post': 24}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,573333835,573329304,23,DM4_adPN,LHPD2a1,DM4_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 23, 'post': 23}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,573333835,548872750,22,DM4_adPN,LHPD2b1_a,DM4_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 19, 'post': 19}, 'CA(R)': {'pre': 19, 'post': 19}, 'MB(+ACA)(R)': {'pre': 19, 'post': 19}, 'LH(R)': {'pre': 3, 'post': 3}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,1630051981,571666400,22,VA4_lPN,LHPD2b1_b,VA4_lPN_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 21, 'post': 21}, 'MB(R)': {'pre': 1, 'post': 1}, 'CA(R)': {'pre': 1, 'post': 1}, 'MB(+ACA)(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,542634818,640963556,21,DM1_lPN,LHPD2a1,DM1_lPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 21, 'post': 21}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,635062078,571666434,21,DP1m_adPN,LHPD2a1,DP1m_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 21, 'post': 21}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,724816115,5813089504,20,DP1l_adPN,LHPD2b1_a,DP1l_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 20, 'post': 20}, 'CA(R)': {'pre': 20, 'post': 20}, 'MB(+ACA)(R)': {'pre': 20, 'post': 20}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,573333835,5813089504,18,DM4_adPN,LHPD2b1_a,DM4_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 17, 'post': 17}, 'CA(R)': {'pre': 17, 'post': 17}, 'MB(+ACA)(R)': {'pre': 17, 'post': 17}, 'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
