glomerulus,pre_pt_root_id,pre_hemibrain_type,pre_cell_type,pre_side,target_group,weight,n_target_roots
DM5,720575940644258327,DM5_lPN,,left,PV5a1,8,2
DM6,720575940612699761,DM6_adPN,,right,PD2a1_b1,5,2
DM6,720575940612699761,DM6_adPN,,right,PV5a1,25,5
DM6,720575940620437339,DM6_adPN,,left,PD2a1_b1,1,1
DM6,720575940620437339,DM6_adPN,,left,PV5a1,22,3
DM6,720575940622785062,DM6_adPN,,left,PD2a1_b1,1,1
DM6,720575940622785062,DM6_adPN,,left,PV5a1,25,3
DM6,720575940623902471,DM6_adPN,,right,PV5a1,21,5
DM6,720575940625493400,DM6_adPN,,right,PV5a1,14,5
DM6,720575940631328104,DM6_adPN,,left,PD2a1_b1,1,1
DM6,720575940631328104,DM6_adPN,,left,PV5a1,23,5
DP1l,720575940624106701,DP1l_vPN,,right,PD2a1_b1,3,2
DP1l,720575940624106701,DP1l_vPN,,right,PV5a1,40,7
DP1l,720575940631305068,DP1l_vPN,,left,PV5a1,24,6
DP1l,720575940635983770,DP1l_adPN,,right,PD2a1_b1,95,7
DP1l,720575940635983770,DP1l_adPN,,right,PV5a1,52,6
DP1l,720575940648650884,DP1l_adPN,,left,PD2a1_b1,113,8
DP1l,720575940648650884,DP1l_adPN,,left,PV5a1,91,8
DP1m,720575940616397122,DP1m_vPN,,left,PD2a1_b1,7,3
DP1m,720575940616397122,DP1m_vPN,,left,PV5a1,38,7
DP1m,720575940618308825,DP1m_adPN,,left,PD2a1_b1,213,8
DP1m,720575940618308825,DP1m_adPN,,left,PV5a1,357,7
DP1m,720575940622726271,DP1m_adPN,,right,PD2a1_b1,244,8
DP1m,720575940622726271,DP1m_adPN,,right,PV5a1,372,7
DP1m,720575940625207019,DP1m_vPN,,right,PD2a1_b1,2,1
DP1m,720575940625207019,DP1m_vPN,,right,PV5a1,22,5
DP1m,720575940634658785,DP1m_vPN,,right,PD2a1_b1,1,1
DP1m,720575940634658785,DP1m_vPN,,right,PV5a1,13,3
DP1m,720575940656077473,DP1m_vPN,,left,PD2a1_b1,4,3
DP1m,720575940656077473,DP1m_vPN,,left,PV5a1,14,6
V,720575940626143806,V_ilPN,,right,PD2a1_b1,6,1
V,720575940626143806,V_ilPN,,right,PV5a1,4,1
V,720575940629301248,V_l2PN,,right,PD2a1_b1,2,1
V,720575940629301248,V_l2PN,,right,PV5a1,6,3
V,720575940630546540,V_ilPN,,left,PD2a1_b1,2,1
VA1v,720575940620199962,VA1v_adPN,,left,PV5a1,3,1
VA1v,720575940621696747,VA1v_adPN,,right,PD2a1_b1,1,1
VA1v,720575940628283560,VA1v_adPN,,left,PD2a1_b1,6,1
VA1v,720575940628283560,VA1v_adPN,,left,PV5a1,2,2
VA1v,720575940629097922,VA1v_adPN,,left,PV5a1,1,1
VA1v,720575940629733626,VA1v_adPN,,left,PD2a1_b1,2,1
VA1v,720575940629733626,VA1v_adPN,,left,PV5a1,2,2
VA1v,720575940633165025,VA1v_adPN,,right,PD2a1_b1,3,1
VA2,720575940609460491,VA2_adPN,,right,PD2a1_b1,193,7
VA2,720575940609460491,VA2_adPN,,right,PV5a1,345,7
VA2,720575940611079236,VA2_adPN,,left,PD2a1_b1,139,7
VA2,720575940611079236,VA2_adPN,,left,PV5a1,424,8
VA3,720575940604431584,VA3_adPN,,left,PV5a1,1,1
VA3,720575940619456728,VA3_adPN,,right,PV5a1,8,2
VA3,720575940629009513,VA3_adPN,,right,PD2a1_b1,1,1
VA3,720575940629009513,VA3_adPN,,right,PV5a1,11,2
VA3,720575940656090017,VA3_adPN,,left,PV5a1,6,1
VA4,720575940617668747,VA4_lPN,,left,PD2a1_b1,65,6
VA4,720575940617668747,VA4_lPN,,left,PV5a1,79,8
VA4,720575940642086389,VA4_lPN,,right,PD2a1_b1,57,7
VA4,720575940642086389,VA4_lPN,,right,PV5a1,45,6
VA7l,720575940618277184,VA7l_adPN,,right,PD2a1_b1,113,6
VA7l,720575940618277184,VA7l_adPN,,right,PV5a1,2,2
VA7l,720575940625784153,VA7l_adPN,,left,PD2a1_b1,76,5
VC2,720575940628739560,VC2_lPN,,left,PD2a1_b1,6,2
VC2,720575940628739560,VC2_lPN,,left,PV5a1,44,8
VC2,720575940630097103,VC2_lPN,,right,PD2a1_b1,10,5
VC2,720575940630097103,VC2_lPN,,right,PV5a1,31,6
VC3l,720575940607439964,VC3l_adPN,VC3_adPN,right,PD2a1_b1,7,1
VC3l,720575940607439964,VC3l_adPN,VC3_adPN,right,PV5a1,3,1
VC3l,720575940615394719,VC3l_adPN,VC3_adPN,left,PD2a1_b1,5,1
VC3l,720575940615394719,VC3l_adPN,VC3_adPN,left,PV5a1,12,2
VC3l,720575940619902598,VC3l_adPN,VC3_adPN,left,PD2a1_b1,10,1
VC3l,720575940619902598,VC3l_adPN,VC3_adPN,left,PV5a1,2,1
VC3l,720575940619928429,VC3l_adPN,VC3_adPN,left,PD2a1_b1,10,1
VC3l,720575940621316033,VC3l_adPN,VC3_adPN,right,PD2a1_b1,6,2
VC3l,720575940621316033,VC3l_adPN,VC3_adPN,right,PV5a1,2,1
VC3l,720575940621533985,VC3l_adPN,VC3_adPN,right,PD2a1_b1,7,1
VC3l,720575940621533985,VC3l_adPN,VC3_adPN,right,PV5a1,5,2
VC3l,720575940623945404,VC3l_adPN,VC3_adPN,right,PD2a1_b1,9,1
