target_group,glomerulus,weight,n_pre_roots,n_target_roots
PD2a1_b1,DA1,1,1,1
PD2a1_b1,DC2,1,1,1
PD2a1_b1,DC3,4,2,1
PD2a1_b1,DC4,9,1,1
PD2a1_b1,DL1,3,2,1
PD2a1_b1,DL2d,63,5,7
PD2a1_b1,DL2v,98,4,4
PD2a1_b1,DL5,1,1,1
PD2a1_b1,DM1,380,1,8
PD2a1_b1,DM2,24,2,4
PD2a1_b1,DM4,174,2,8
PD2a1_b1,DM5,18,3,7
PD2a1_b1,DM6,3,3,2
PD2a1_b1,DP1l,113,1,8
PD2a1_b1,DP1m,224,3,8
PD2a1_b1,V,8,2,2
PD2a1_b1,VA1d,6,3,3
PD2a1_b1,VA1v,8,2,1
PD2a1_b1,VA2,139,1,7
PD2a1_b1,VA4,65,1,6
PD2a1_b1,VA5,3,2,1
PD2a1_b1,VA6,1,1,1
PD2a1_b1,VA7l,76,1,5
PD2a1_b1,VC2,6,1,2
PD2a1_b1,VC3l,25,3,1
PD2a1_b1,VC4,2,2,2
PD2a1_b1,VL2a,2,1,1
PD2a1_b1,VM2,12,2,5
PD2a1_b1,VM3,68,2,7
PD2a1_b1,VM5d,4,1,1
PD2a1_b1,VM5v,3,1,1
PD2a1_b1,VM7d,1,1,1
PD2a1_b1,VM7v,9,2,1
PD2a1_b1,VP1m,2,2,2
PD2a1_b1,VP4,8,2,3
PD2a1_b1,mPN,134,33,8
PV5a1,DA1,1,1,1
PV5a1,DC1,4,1,1
PV5a1,DC2,12,1,2
PV5a1,DC3,10,3,2
PV5a1,DC4,1,1,1
PV5a1,DL2d,43,7,6
PV5a1,DL2v,94,4,5
PV5a1,DL5,4,1,3
PV5a1,DM1,453,1,8
PV5a1,DM2,134,2,8
PV5a1,DM4,351,1,8
PV5a1,DM5,25,3,3
PV5a1,DM6,70,3,5
PV5a1,DP1l,115,2,8
PV5a1,DP1m,409,3,8
PV5a1,V,4,1,1
PV5a1,VA1v,8,4,3
PV5a1,VA2,424,1,8
PV5a1,VA3,7,2,2
PV5a1,VA4,79,1,8
PV5a1,VA7m,37,3,5
PV5a1,VC1,2,1,1
PV5a1,VC2,44,1,8
PV5a1,VC3l,14,2,2
PV5a1,VC3m,21,3,3
PV5a1,VC4,57,3,5
PV5a1,VC5,1,1,1
PV5a1,VL2a,3,1,2
PV5a1,VL2p,14,1,4
PV5a1,VM1,9,2,3
PV5a1,VM2,23,2,6
PV5a1,VM3,166,2,8
PV5a1,VM5d,6,2,1
PV5a1,VM5v,5,2,1
PV5a1,VM7d,4,1,1
PV5a1,VM7v,18,2,3
PV5a1,mPN,210,29,8
