LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2X04_L,7205759406279275731,D,60,10,50
lLN2X04_L,7205759406279275731,DA1,14,2,12
lLN2X04_L,7205759406279275731,DA2,5,0,5
lLN2X04_L,7205759406279275731,DA4l,2,0,2
lLN2X04_L,7205759406279275731,DA4m,51,7,44
lLN2X04_L,7205759406279275731,DC1,64,10,54
lLN2X04_L,7205759406279275731,DC2,15,3,12
lLN2X04_L,7205759406279275731,DC3,34,7,27
lLN2X04_L,7205759406279275731,DC4,22,7,15
lLN2X04_L,7205759406279275731,DL1,35,3,32
lLN2X04_L,7205759406279275731,DL2d,7,0,7
lLN2X04_L,7205759406279275731,DL2v,12,4,8
lLN2X04_L,7205759406279275731,DL3,8,0,8
lLN2X04_L,7205759406279275731,DL4,14,8,6
lLN2X04_L,7205759406279275731,DL5,16,1,15
lLN2X04_L,7205759406279275731,DM1,49,21,28
lLN2X04_L,7205759406279275731,DM2,20,5,15
lLN2X04_L,7205759406279275731,DM3,7,0,7
lLN2X04_L,7205759406279275731,DM4,26,5,21
lLN2X04_L,7205759406279275731,DM5,2,0,2
lLN2X04_L,7205759406279275731,DM6,17,6,11
lLN2X04_L,7205759406279275731,DP1l,59,14,45
lLN2X04_L,7205759406279275731,DP1m,102,5,97
lLN2X04_L,7205759406279275731,V,3,3,0
lLN2X04_L,7205759406279275731,VA1d,21,2,19
lLN2X04_L,7205759406279275731,VA1v,17,0,17
lLN2X04_L,7205759406279275731,VA2,38,0,38
lLN2X04_L,7205759406279275731,VA3,34,2,32
lLN2X04_L,7205759406279275731,VA4,18,1,17
lLN2X04_L,7205759406279275731,VA5,7,2,5
lLN2X04_L,7205759406279275731,VA6,39,6,33
lLN2X04_L,7205759406279275731,VA7l,17,4,13
lLN2X04_L,7205759406279275731,VA7m,9,3,6
lLN2X04_L,7205759406279275731,VC1,37,10,27
lLN2X04_L,7205759406279275731,VC2,6,1,5
lLN2X04_L,7205759406279275731,VC3l,23,4,19
lLN2X04_L,7205759406279275731,VC3m,26,2,24
lLN2X04_L,7205759406279275731,VC5,70,4,66
lLN2X04_L,7205759406279275731,VL1,23,23,0
lLN2X04_L,7205759406279275731,VL2a,46,7,39
lLN2X04_L,7205759406279275731,VL2p,46,10,36
lLN2X04_L,7205759406279275731,VM1,22,0,22
lLN2X04_L,7205759406279275731,VM2,17,6,11
lLN2X04_L,7205759406279275731,VM3,16,1,15
lLN2X04_L,7205759406279275731,VM4,3,0,3
lLN2X04_L,7205759406279275731,VM5d,17,3,14
lLN2X04_L,7205759406279275731,VM5v,37,2,35
lLN2X04_L,7205759406279275731,VM7d,24,4,20
lLN2X04_L,7205759406279275731,VM7v,16,3,13
