LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
v2LN34E_L,7205759406146186831,D,1,0,1
v2LN34E_L,7205759406146186831,DA4m,1,1,0
v2LN34E_L,7205759406146186831,DP1m,1,1,0
