LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2X02_L,7205759406104086431,D,68,53,15
lLN2X02_L,7205759406104086431,DA1,1,1,0
lLN2X02_L,7205759406104086431,DA4l,2,2,0
lLN2X02_L,7205759406104086431,DA4m,4,3,1
lLN2X02_L,7205759406104086431,DC1,29,27,2
lLN2X02_L,7205759406104086431,DC2,11,9,2
lLN2X02_L,7205759406104086431,DC4,44,41,3
lLN2X02_L,7205759406104086431,DL1,91,80,11
lLN2X02_L,7205759406104086431,DL2d,21,20,1
lLN2X02_L,7205759406104086431,DL2v,60,51,9
lLN2X02_L,7205759406104086431,DL5,216,157,59
lLN2X02_L,7205759406104086431,DM1,97,87,10
lLN2X02_L,7205759406104086431,DM2,51,46,5
lLN2X02_L,7205759406104086431,DM4,42,29,13
lLN2X02_L,7205759406104086431,DM5,6,6,0
lLN2X02_L,7205759406104086431,DM6,30,29,1
lLN2X02_L,7205759406104086431,DP1l,12,11,1
lLN2X02_L,7205759406104086431,DP1m,160,151,9
lLN2X02_L,7205759406104086431,VA2,32,31,1
lLN2X02_L,7205759406104086431,VA3,31,22,9
lLN2X02_L,7205759406104086431,VA5,2,2,0
lLN2X02_L,7205759406104086431,VA6,10,9,1
lLN2X02_L,7205759406104086431,VA7l,10,8,2
lLN2X02_L,7205759406104086431,VA7m,9,9,0
lLN2X02_L,7205759406104086431,VC1,37,37,0
lLN2X02_L,7205759406104086431,VC2,13,11,2
lLN2X02_L,7205759406104086431,VC3l,92,72,20
lLN2X02_L,7205759406104086431,VC3m,9,9,0
lLN2X02_L,7205759406104086431,VC4,14,11,3
lLN2X02_L,7205759406104086431,VC5,27,23,4
lLN2X02_L,7205759406104086431,VL2a,10,10,0
lLN2X02_L,7205759406104086431,VL2p,11,11,0
lLN2X02_L,7205759406104086431,VM1,53,52,1
lLN2X02_L,7205759406104086431,VM2,11,11,0
lLN2X02_L,7205759406104086431,VM3,12,12,0
lLN2X02_L,7205759406104086431,VM5d,84,75,9
lLN2X02_L,7205759406104086431,VM5v,90,69,21
lLN2X02_L,7205759406104086431,VM7d,36,29,7
lLN2X02_L,7205759406104086431,VM7v,2,2,0
