source_root_id,analysis_body_id,LN_instance,LN_type,analysis_hemisphere,neuropil,root_id,glomerulus,cell_sub_class,n_synapses
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940621333696,VA5,uniglomerular,5
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940621529435,DC1,uniglomerular,18
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940621533985,VC3l,uniglomerular,22
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940621696747,VA1v,uniglomerular,14
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940621765708,mPN,multiglomerular,2
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940621776161,mPN,multiglomerular,5
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940621817046,mPN,multiglomerular,31
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940622287142,VM5v,uniglomerular,28
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940622448166,mPN,multiglomerular,3
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940622448589,VA1d,uniglomerular,8
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940622547421,mPN,multiglomerular,1
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940622567659,mPN,multiglomerular,1
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940622574532,VA7m,uniglomerular,5
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940622726271,DP1m,uniglomerular,95
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940623303108,DA1,uniglomerular,1
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940623465909,mPN,multiglomerular,6
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940623707575,mPN,multiglomerular,2
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940623739076,VA1v,uniglomerular,8
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940623815486,mPN,multiglomerular,2
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940623897613,mPN,multiglomerular,2
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940623902471,DM6,uniglomerular,17
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940623945404,VC3l,uniglomerular,33
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940624175565,mPN,multiglomerular,8
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940624661552,VM5v,uniglomerular,13
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940624879911,VP1d,multiglomerular,13
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940624941244,DL2d,uniglomerular,6
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940625014928,VA1v,uniglomerular,11
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940625022270,mPN,multiglomerular,47
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940625056509,mPN,multiglomerular,2
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940625493400,DM6,uniglomerular,13
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940625521899,mPN,multiglomerular,3
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940625564676,VA1d,uniglomerular,9
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940626601994,VL2a,uniglomerular,7
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940626657802,mPN,multiglomerular,2
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940626675837,VP1d,multiglomerular,2
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940626986885,VC4,uniglomerular,24
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940627042064,DL1,uniglomerular,82
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940627129290,mPN,multiglomerular,4
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,720575940627958889,mPN,multiglomerular,4
