source_root_id,analysis_body_id,LN_instance,LN_type,analysis_hemisphere,neuropil,orn_synapses_in_hemisphere,pn_synapses_in_hemisphere,all_output_synapses_in_hemisphere
720575940624084429,7205759406240844292,v2LN3A1_b_R,v2LN3A1_b,R,AL_R,233,97,1714
720575940626310686,7205759406263106861,CB1686_L,CB1686,L,AL_L,67,487,1612
720575940634303132,7205759406343031322,lLN2P_a_R,lLN2P_a,R,AL_R,980,913,6616
720575940632505359,7205759406325053592,lLN2P_a_R,lLN2P_a,R,AL_R,1326,1296,8085
720575940641609869,7205759406416098691,CB1546_L,CB1546,L,AL_L,17,344,1554
720575940622625279,7205759406226252792,v2LN41a_R,v2LN41a,R,AL_R,3,294,1472
720575940660217985,7205759406602179852,lLN2P_b_R,lLN2P_b,R,AL_R,965,1255,8516
720575940609890315,7205759406098903151,v2LN3A1_b_L,v2LN3A1_b,L,AL_L,1,28,237
720575940609890315,7205759406098903152,v2LN3A1_b_R,v2LN3A1_b,R,AL_R,499,192,3205
720575940635664046,7205759406356640461,v2LN40_2_L,v2LN40_2,L,AL_L,424,469,1976
720575940624356792,7205759406243567922,CB1824_R,CB1824,R,AL_R,64,126,533
720575940622592099,7205759406225920991,CB1668_L,CB1668,L,AL_L,18,99,395
720575940622592099,7205759406225920992,CB1668_R,CB1668,R,AL_R,13,62,297
720575940644362788,7205759406443627881,lLN2P_a_L,lLN2P_a,L,AL_L,1175,833,7157
720575940623280311,7205759406232803111,CB1048_L,CB1048,L,AL_L,2,438,1625
720575940625630212,7205759406256302121,CB2345_L,CB2345,L,AL_L,2,117,958
720575940631423116,7205759406314231161,lLN1_a_L,lLN1_a,L,AL_L,70,2495,10490
720575940621089780,7205759406210897801,CB1546_L,CB1546,L,AL_L,21,425,1951
720575940632835688,7205759406328356881,lLN2T_d_L,lLN2T_d,L,AL_L,12,3,51
720575940632835688,7205759406328356882,lLN2T_d_R,lLN2T_d,R,AL_R,1591,1467,10627
720575940622054497,7205759406220544971,lLN2P_a_L,lLN2P_a,L,AL_L,873,995,6266
720575940616486230,7205759406164862302,lLN2P_c_R,lLN2P_c,R,AL_R,365,1991,7449
720575940628914692,7205759406289146921,LN60b_L,LN60b,L,AL_L,624,3092,7726
720575940628914692,7205759406289146922,LN60b_R,LN60b,R,AL_R,53,262,601
720575940620400116,7205759406204001161,CB2471_L,CB2471,L,AL_L,40,178,1145
720575940626681146,7205759406266811461,v2LN42b_L,v2LN42b,L,AL_L,41,167,869
720575940615073587,7205759406150735871,lLN2X02_L,lLN2X02,L,AL_L,1368,1875,6213
720575940648633988,7205759406486339882,lLN1_bc_R,lLN1_bc,R,AL_R,46,2091,9341
720575940640364085,7205759406403640851,CB2504_L,CB2504,L,AL_L,55,124,848
720575940624977466,7205759406249774661,CB2527_L,CB2527,L,AL_L,25,77,1066
720575940624977466,7205759406249774662,CB2527_R,CB2527,R,AL_R,5,21,465
720575940623792648,7205759406237926482,lLN1_bc_R,lLN1_bc,R,AL_R,51,1773,8287
720575940631105580,7205759406311055801,lLN2P_a_L,lLN2P_a,L,AL_L,764,887,6726
720575940626378242,7205759406263782422,lLN2P_a_R,lLN2P_a,R,AL_R,732,891,7156
720575940634949311,7205759406349493112,lLN2P_c_R,lLN2P_c,R,AL_R,431,2476,7777
720575940625990277,7205759406259902771,CB2569_L,CB2569,L,AL_L,145,226,764
720575940625990277,7205759406259902772,CB2569_R,CB2569,R,AL_R,71,123,658
720575940616959778,7205759406169597781,CB2571_L,CB2571,L,AL_L,1,22,566
720575940616959778,7205759406169597782,CB2571_R,CB2571,R,AL_R,9,80,1572
720575940608345778,7205759406083457782,lLN2P_b_R,lLN2P_b,R,AL_R,746,1168,7358
720575940617629270,7205759406176292701,CB1676_L,CB1676,L,AL_L,3,14,488
720575940617629270,7205759406176292702,CB1676_R,CB1676,R,AL_R,163,263,3418
720575940620541349,7205759406205413491,v2LN36_L,v2LN36,L,AL_L,1454,2714,7258
720575940621551854,7205759406215518541,lLN2T_e_L,lLN2T_e,L,AL_L,12,31,158
720575940621551854,7205759406215518542,lLN2T_e_R,lLN2T_e,R,AL_R,743,2887,14142
720575940614113682,7205759406141136821,vLN25_L,vLN25,L,AL_L,471,518,3573
720575940631704716,7205759406317047162,lLN1_bc_R,lLN1_bc,R,AL_R,238,1760,8671
720575940624323342,7205759406243233421,CB2661_L,CB2661,L,AL_L,10,127,458
720575940624323342,7205759406243233422,CB2661_R,CB2661,R,AL_R,31,52,339
720575940617918603,7205759406179186031,v2LNX01_L,v2LNX01,L,AL_L,38,355,2270
720575940640415859,7205759406404158592,lLN2X07_R,lLN2X07,R,AL_R,534,800,5196
720575940627737365,7205759406277373651,lLN2X10_L,lLN2X10,L,AL_L,503,1361,7092
720575940621832001,7205759406218320012,CB1285_R,CB1285,R,AL_R,10,125,686
720575940621061285,7205759406210612851,vLN24_L,vLN24,L,AL_L,514,344,5345
720575940633189145,7205759406331891451,CB1285_L,CB1285,L,AL_L,5,74,500
720575940617140765,7205759406171407651,CB1824_L,CB1824,L,AL_L,43,62,528
720575940632803212,7205759406328032122,CB1141_R,CB1141,R,AL_R,47,133,738
720575940618681168,7205759406186811681,CB1285_L,CB1285,L,AL_L,2,82,534
720575940659844225,7205759406598442251,CB1141_L,CB1141,L,AL_L,8,71,618
720575940606267659,7205759406062676591,v2LN40_2_L,v2LN40_2,L,AL_L,333,408,1715
720575940630575375,7205759406305753751,CB1285_L,CB1285,L,AL_L,1,110,570
720575940623930211,7205759406239302111,CB1141_L,CB1141,L,AL_L,10,61,448
720575940615071795,7205759406150717951,v2LN46b_L,v2LN46b,L,AL_L,1,18,80
720575940615071795,7205759406150717952,v2LN46b_R,v2LN46b,R,AL_R,95,124,516
720575940620755126,7205759406207551261,CB1824_L,CB1824,L,AL_L,43,206,807
720575940619954112,7205759406199541122,CB1285_R,CB1285,R,AL_R,16,115,595
720575940636110222,7205759406361102221,CB2822_L,CB2822,L,AL_L,34,69,838
720575940642343565,7205759406423435651,lLN8_L,lLN8,L,AL_L,81,708,2457
720575940642343565,7205759406423435652,lLN8_R,lLN8,R,AL_R,220,571,2009
720575940618158672,7205759406181586721,CB1824_L,CB1824,L,AL_L,24,88,566
720575940623540477,7205759406235404771,CB1824_L,CB1824,L,AL_L,37,69,699
720575940624422643,7205759406244226432,CB2845_R,CB2845,R,AL_R,24,185,723
720575940637846947,7205759406378469472,CB1285_R,CB1285,R,AL_R,14,92,437
720575940613167845,7205759406131678451,CB1824_L,CB1824,L,AL_L,38,169,1102
720575940606756785,7205759406067567851,v2LN46a_L,v2LN46a,L,AL_L,2,76,285
720575940606756785,7205759406067567852,v2LN46a_R,v2LN46a,R,AL_R,17,97,609
720575940642015477,7205759406420154772,v2LN41a_R,v2LN41a,R,AL_R,4,289,2042
720575940640060112,7205759406400601121,CB2471_L,CB2471,L,AL_L,66,97,662
720575940640060112,7205759406400601122,CB2471_R,CB2471,R,AL_R,1,37,192
720575940650581881,7205759406505818811,CB2908_L,CB2908,L,AL_L,57,294,1246
720575940640258613,7205759406402586132,CB1824_R,CB1824,R,AL_R,29,156,899
720575940646037783,7205759406460377831,v2LN47_L,v2LN47,L,AL_L,24,65,373
720575940621612765,7205759406216127652,v2LN47_R,v2LN47,R,AL_R,36,67,397
720575940623136717,7205759406231367171,lLN2X12_L,lLN2X12,L,AL_L,756,1336,7965
720575940641621645,7205759406416216452,lLN13_R,lLN13,R,AL_R,16,269,1664
720575940637510121,7205759406375101211,CB1141_L,CB1141,L,AL_L,11,76,603
720575940618259766,7205759406182597661,CB2845_L,CB2845,L,AL_L,47,144,663
720575940614054802,7205759406140548022,l2LN22_R,l2LN22,R,AL_R,1,353,2070
720575940625772828,7205759406257728281,CB3007_L,CB3007,L,AL_L,19,203,1222
720575940626518302,7205759406265183021,CB2908_L,CB2908,L,AL_L,47,247,1162
720575940622811400,7205759406228114002,CB2822_R,CB2822,R,AL_R,15,146,912
720575940624645818,7205759406246458182,CB1824_R,CB1824,R,AL_R,39,116,742
720575940628142352,7205759406281423522,CB2908_R,CB2908,R,AL_R,83,378,1379
720575940629942343,7205759406299423431,CB1013_L,CB1013,L,AL_L,35,77,659
720575940628251907,7205759406282519072,CB1546_R,CB1546,R,AL_R,23,385,1695
720575940616198587,7205759406161985872,CB2471_R,CB2471,R,AL_R,92,174,1091
720575940626579593,7205759406265795932,CB2845_R,CB2845,R,AL_R,36,125,554
720575940623526985,7205759406235269852,v2LN47_R,v2LN47,R,AL_R,39,66,378
720575940618911901,7205759406189119011,v2LN46a_L,v2LN46a,L,AL_L,43,135,656
720575940629324791,7205759406293247912,CB1824_R,CB1824,R,AL_R,21,83,585
720575940627405052,7205759406274050521,v2LN34E_L,v2LN34E,L,AL_L,4,32,326
720575940627405052,7205759406274050522,v2LN34E_R,v2LN34E,R,AL_R,10,59,582
720575940604568521,7205759406045685212,lLN13_R,lLN13,R,AL_R,24,354,1567
720575940630723384,7205759406307233841,CB1473_L,CB1473,L,AL_L,30,279,1218
720575940621681321,7205759406216813212,CB3007_R,CB3007,R,AL_R,13,136,1031
720575940616892061,7205759406168920611,CB3007_L,CB3007,L,AL_L,11,223,1435
720575940632094415,7205759406320944151,CB3172_L,CB3172,L,AL_L,4,72,708
720575940632094415,7205759406320944152,CB3172_R,CB3172,R,AL_R,1,72,686
720575940624549820,7205759406245498201,CB1668_L,CB1668,L,AL_L,17,97,352
720575940624549820,7205759406245498202,CB1668_R,CB1668,R,AL_R,59,176,585
720575940638844504,7205759406388445042,CB2471_R,CB2471,R,AL_R,94,199,1027
720575940637845934,7205759406378459341,CB1013_L,CB1013,L,AL_L,22,78,573
720575940637845934,7205759406378459342,CB1013_R,CB1013,R,AL_R,1,73,355
720575940605305777,7205759406053057772,CB3202_R,CB3202,R,AL_R,61,458,1435
720575940631978956,7205759406319789562,CB2471_R,CB2471,R,AL_R,108,223,1139
720575940633286068,7205759406332860681,v2LN47_L,v2LN47,L,AL_L,71,103,450
720575940633286068,7205759406332860682,v2LN47_R,v2LN47,R,AL_R,1,29,135
720575940628326417,7205759406283264172,CB1546_R,CB1546,R,AL_R,90,508,2119
720575940629068741,7205759406290687411,v2LN46b_L,v2LN46b,L,AL_L,1,29,82
720575940629068741,7205759406290687412,v2LN46b_R,v2LN46b,R,AL_R,99,111,596
720575940613970147,7205759406139701471,v2LN46b_L,v2LN46b,L,AL_L,122,140,589
