bodyId_pre,type_pre,instance_pre,n_target_groups
609924156,M_lvPNm39,M_lvPNm39_R,2
697145036,M_vPNml83,M_vPNml83_R,2
1447205602,M_vPNml83,M_vPNml83_R,2
1671952694,M_lvPNm24,M_lvPNm24_R,2
1693827279,M_adPNm8,M_adPNm8_R,2
1700307582,M_l2PNl21,M_l2PNl21_R,2
1819326555,M_vPNml89,M_vPNml89_R,2
1943811511,M_lvPNm31,M_lvPNm31_R,2
2383731281,M_vPNml51,M_vPNml51_R,2
5813034081,M_vPNml58,M_vPNml58_R,2
