bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo
1671292719,1700307582,41,lLN2T_c,M_l2PNl21,lLN2T_c(Tortuous)_R,M_l2PNl21_R,"{'AL(R)': {'pre': 41, 'post': 41}, 'AL-DP1m(R)': {'pre': 14, 'post': 14}, 'AL-DM1(R)': {'pre': 6, 'post': 6}, 'AL-DC1(R)': {'pre': 1, 'post': 1}, 'AL-VA4(R)': {'pre': 2, 'post': 2}, 'AL-D(R)': {'pre': 1, 'post': 1}, 'AL-DA3(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}, 'AL-DL2v(R)': {'pre': 1, 'post': 1}, 'AL-DL5(R)': {'pre': 2, 'post': 2}, 'AL-VA2(R)': {'pre': 2, 'post': 2}, 'AL-VC5(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 3, 'post': 3}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}, 'AL-VP1m(R)': {'pre': 2, 'post': 2}, 'AL-DC3(R)': {'pre': 1, 'post': 1}, 'AL-DC4(R)': {'pre': 1, 'post': 1}}"
635062078,1700307582,38,DP1m_adPN,M_l2PNl21,DP1m_adPN_R,M_l2PNl21_R,"{'AL(R)': {'pre': 38, 'post': 38}, 'AL-DP1m(R)': {'pre': 36, 'post': 37}, 'AL-DP1l(R)': {'pre': 2, 'post': 1}}"
1630051981,1700307582,34,VA4_lPN,M_l2PNl21,VA4_lPN_R,M_l2PNl21_R,"{'AL(R)': {'pre': 34, 'post': 34}, 'AL-VA4(R)': {'pre': 28, 'post': 28}, 'AL-VL1(R)': {'pre': 2, 'post': 2}, 'AL-VC2(R)': {'pre': 2, 'post': 2}, 'AL-VA3(R)': {'pre': 2, 'post': 2}}"
1666915198,1700307582,34,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 34, 'post': 34}, 'AL-DP1m(R)': {'pre': 33, 'post': 33}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}}"
1666914838,1700307582,31,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 30, 'post': 30}, 'AL-DP1m(R)': {'pre': 28, 'post': 28}, 'LX(R)': {'pre': 1, 'post': 1}, 'LAL(R)': {'pre': 1, 'post': 1}, 'LAL(-GA)(R)': {'pre': 1, 'post': 1}, 'AL-DP1l(R)': {'pre': 2, 'post': 2}}"
1731354634,1693827279,31,ALBN1,M_adPNm8,ALBN1(ADL28)_L,M_adPNm8_R,"{'AL(R)': {'pre': 31, 'post': 31}, 'AL-VL2p(R)': {'pre': 2, 'post': 1}, 'AL-DL2v(R)': {'pre': 6, 'post': 5}, 'AL-DP1m(R)': {'pre': 5, 'post': 5}, 'AL-DP1l(R)': {'pre': 9, 'post': 9}, 'AL-VC2(R)': {'pre': 1, 'post': 1}, 'AL-VP1d(R)': {'pre': 6, 'post': 6}, 'AL-VL2a(R)': {'post': 1}}"
5813039309,1700307582,30,lLN2P_b,M_l2PNl21,lLN2P_b(Patchy)_R,M_l2PNl21_R,"{'AL(R)': {'pre': 30, 'post': 30}, 'AL-DP1m(R)': {'pre': 15, 'post': 15}, 'AL-DM3(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 3, 'post': 3}, 'AL-DC4(R)': {'pre': 2, 'post': 2}, 'AL-VL2p(R)': {'pre': 3, 'post': 3}, 'AL-DP1l(R)': {'pre': 2, 'post': 2}, 'AL-VL2a(R)': {'pre': 1, 'post': 1}, 'AL-DL2v(R)': {'pre': 1, 'post': 1}, 'AL-D(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}"
1666910636,1700307582,28,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 28, 'post': 27}, 'AL-DP1m(R)': {'pre': 27, 'post': 26}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}, 'LX(R)': {'post': 1}, 'LAL(R)': {'post': 1}, 'LAL(-GA)(R)': {'post': 1}}"
1730315051,1700307582,28,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 28, 'post': 28}, 'AL-DP1m(R)': {'pre': 27, 'post': 27}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}}"
1730651751,1700307582,28,v2LN3A,M_l2PNl21,v2LN3a_R,M_l2PNl21_R,"{'AL(R)': {'pre': 28, 'post': 28}, 'AL-DC4(R)': {'pre': 6, 'post': 6}, 'AL-VL1(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 3, 'post': 3}, 'AL-VC3l(R)': {'pre': 1, 'post': 1}, 'AL-DP1m(R)': {'pre': 5, 'post': 5}, 'AL-DL2v(R)': {'pre': 1, 'post': 1}, 'AL-VP1d(R)': {'post': 1}, 'AL-VA2(R)': {'pre': 2, 'post': 2}, 'AL-VC1(R)': {'pre': 2, 'post': 2}, 'AL-DM1(R)': {'pre': 2, 'post': 2}, 'AL-VA4(R)': {'pre': 1, 'post': 1}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}, 'AL-DC1(R)': {'pre': 2, 'post': 2}}"
