bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,input_glomerulus,mPN_type,mPN_instance
2169267537,609924156,1,ORN_VA2,M_lvPNm39,ORN_VA2,M_lvPNm39_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA2(R)': {'pre': 1, 'post': 1}}",VA2,M_lvPNm39,M_lvPNm39_R
2169595273,609924156,1,ORN_VA3,M_lvPNm39,ORN_VA3,M_lvPNm39_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 1, 'post': 1}}",VA3,M_lvPNm39,M_lvPNm39_R
2195846519,1700307582,1,ORN_VC5,M_l2PNl21,ORN_VC5,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VC5(R)': {'pre': 1, 'post': 1}}",VC5,M_l2PNl21,M_l2PNl21_R
2198579859,609924156,1,ORN_VA2,M_lvPNm39,ORN_VA2,M_lvPNm39_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA2(R)': {'pre': 1, 'post': 1}}",VA2,M_lvPNm39,M_lvPNm39_R
2198579859,1700307582,1,ORN_VA2,M_l2PNl21,ORN_VA2,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA2(R)': {'pre': 1, 'post': 1}}",VA2,M_l2PNl21,M_l2PNl21_R
2199244414,1700307582,1,ORN_VA3,M_l2PNl21,ORN_VA3,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 1, 'post': 1}}",VA3,M_l2PNl21,M_l2PNl21_R
2199248827,2383731281,1,ORN_VA3,M_vPNml51,ORN_VA3,M_vPNml51_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 1, 'post': 1}}",VA3,M_vPNml51,M_vPNml51_R
2199257831,1943811511,1,ORN_VA3,M_lvPNm31,ORN_VA3,M_lvPNm31_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 1, 'post': 1}}",VA3,M_lvPNm31,M_lvPNm31_R
2199257831,2383731281,1,ORN_VA3,M_vPNml51,ORN_VA3,M_vPNml51_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 1, 'post': 1}}",VA3,M_vPNml51,M_vPNml51_R
2199261919,1671952694,1,ORN_VA2,M_lvPNm24,ORN_VA2,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA2(R)': {'pre': 1, 'post': 1}}",VA2,M_lvPNm24,M_lvPNm24_R
2200228723,1671952694,1,ORN_V,M_lvPNm24,ORN_V_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_lvPNm24,M_lvPNm24_R
2200228723,1700307582,1,ORN_V,M_l2PNl21,ORN_V_R,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_l2PNl21,M_l2PNl21_R
2200228767,1700307582,1,ORN_V,M_l2PNl21,ORN_V_R,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_l2PNl21,M_l2PNl21_R
2200228798,1671952694,1,ORN_V,M_lvPNm24,ORN_V_R,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_lvPNm24,M_lvPNm24_R
2200228798,1700307582,1,ORN_V,M_l2PNl21,ORN_V_R,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_l2PNl21,M_l2PNl21_R
2200958472,1700307582,1,ORN_VA3,M_l2PNl21,ORN_VA3,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 1, 'post': 1}}",VA3,M_l2PNl21,M_l2PNl21_R
2200958472,1943811511,1,ORN_VA3,M_lvPNm31,ORN_VA3,M_lvPNm31_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 1, 'post': 1}}",VA3,M_lvPNm31,M_lvPNm31_R
2228910820,609924156,1,ORN_VA4,M_lvPNm39,ORN_VA4,M_lvPNm39_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA4(R)': {'pre': 1, 'post': 1}}",VA4,M_lvPNm39,M_lvPNm39_R
2228910941,1700307582,1,ORN_VA4,M_l2PNl21,ORN_VA4,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA4(R)': {'pre': 1, 'post': 1}}",VA4,M_l2PNl21,M_l2PNl21_R
2229929673,1943811511,1,ORN_VA3,M_lvPNm31,ORN_VA3,M_lvPNm31_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 1, 'post': 1}}",VA3,M_lvPNm31,M_lvPNm31_R
2230646168,1700307582,1,ORN_VA2,M_l2PNl21,ORN_VA2,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA2(R)': {'pre': 1, 'post': 1}}",VA2,M_l2PNl21,M_l2PNl21_R
2230931053,1700307582,1,ORN_V,M_l2PNl21,ORN_V_R,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-V(R)': {'pre': 1, 'post': 1}}",V,M_l2PNl21,M_l2PNl21_R
