bodyId_post,mPN_type,mPN_instance,top_input_glomeruli_weight
609924156,M_lvPNm39,M_lvPNm39_R,"DP1l(80), VA2(28), DL2v(19), VL2a(19), VA3(17), DP1m(13), DL2d(7), VL2p(2)"
697145036,M_vPNml83,M_vPNml83_R,"VM5d(9), DC2(3), VC1(3), DC1(1), DM2(1), DM6(1), VM5v(1)"
1447205602,M_vPNml83,M_vPNml83_R,"DM6(17), VM5d(7), DC4(4), VM7d(4), VC4(2), VM7v(2), DM2(1), VC1(1)"
1671952694,M_lvPNm24,M_lvPNm24_R,"DP1m(119), V(90), DM1(63), DC1(59), DC4(59), DM4(31), VA6(28), D(23)"
1693827279,M_adPNm8,M_adPNm8_R,"DL2v(206), DP1l(6)"
1700307582,M_l2PNl21,M_l2PNl21_R,"DP1m(419), VA2(92), V(79), DM1(76), DL2v(58), DC4(36), DL2d(33), VC5(26)"
1819326555,M_vPNml89,M_vPNml89_R,"VM5v(1), VM7v(1)"
1943811511,M_lvPNm31,M_lvPNm31_R,"DA1(19), VA3(11), VC4(2), DM2(1), VC2(1)"
2383731281,M_vPNml51,M_vPNml51_R,"VA2(30), VA3(21), DL2v(16), DP1l(13), DP1m(7), VM3(4), VC4(2), VL1(2)"
5813034081,M_vPNml58,M_vPNml58_R,DP1m(111)
