glomerulus,weight,LN_total_connections,LN_to_PN_perct
VC4,58,1482,0.03913630229419703
VM5d,51,1482,0.03441295546558704
VA3,46,1482,0.0310391363022942
VC2,45,1482,0.030364372469635626
mPN,43,1482,0.029014844804318488
DA4l,27,1482,0.018218623481781375
VC3m,19,1482,0.01282051282051282
VM7v,18,1482,0.012145748987854251
VC1,17,1482,0.011470985155195682
VA2,16,1482,0.010796221322537112
DM1,15,1482,0.010121457489878543
DC1,11,1482,0.007422402159244264
DC3,11,1482,0.007422402159244264
VC5,11,1482,0.007422402159244264
DC4,10,1482,0.006747638326585695
VA7m,10,1482,0.006747638326585695
VP1d,10,1482,0.006747638326585695
DA4m,9,1482,0.006072874493927126
D,8,1482,0.005398110661268556
VA6,8,1482,0.005398110661268556
VC3l,8,1482,0.005398110661268556
VM2,8,1482,0.005398110661268556
DA2,7,1482,0.004723346828609987
DM2,7,1482,0.004723346828609987
DC2,5,1482,0.0033738191632928477
VM7d,5,1482,0.0033738191632928477
VM3,3,1482,0.0020242914979757085
VA7l,2,1482,0.001349527665317139
VM1,2,1482,0.001349527665317139
DL4,1,1482,0.0006747638326585695
DM5,1,1482,0.0006747638326585695
VM5v,1,1482,0.0006747638326585695
