LN_type,LN_bodyId,ORN_type,LN_hemisphere,right_weight,left_weight,contralateral_input_ratio,input_preference
lLN1_c,1702651358,ORN_VL2a,R,2.0,5.0,2.5,0.42857142857142855
lLN1_c,1702651358,ORN_DL2v,R,5.0,10.0,2.0,0.3333333333333333
lLN1_c,1702651358,ORN_VM7v,R,2.0,4.0,2.0,0.3333333333333333
lLN1_c,1702651358,ORN_DC2,R,1.0,2.0,2.0,0.3333333333333333
lLN1_c,1547454812,ORN_VL2a,R,2.0,5.0,2.5,0.42857142857142855
lLN1_c,1547454812,ORN_DL2v,R,1.0,4.0,4.0,0.6
lLN1_c,1547454812,ORN_DL1,R,1.0,6.0,6.0,0.7142857142857143
lLN1_c,1547454812,ORN_DA1,R,1.0,2.0,2.0,0.3333333333333333
lLN1_c,1547454812,ORN_DM2,R,2.0,5.0,2.5,0.42857142857142855
lLN1_c,1824101645,ORN_VL2a,R,3.0,5.0,1.6666666666666667,0.25
lLN1_c,1824101645,ORN_VC1,R,3.0,19.0,6.333333333333333,0.7272727272727273
lLN1_c,1824101645,ORN_DL2v,R,9.0,19.0,2.111111111111111,0.35714285714285715
lLN1_c,1824101645,ORN_DC4,R,5.0,10.0,2.0,0.3333333333333333
lLN1_c,1824101645,ORN_DM1,R,7.0,8.0,1.1428571428571428,0.06666666666666667
lLN1_c,5813047691,ORN_DL2v,R,4.0,5.0,1.25,0.1111111111111111
lLN1_c,5813047691,ORN_DC4,R,13.0,15.0,1.1538461538461537,0.07142857142857142
lLN1_c,5813047691,ORN_DM1,R,4.0,6.0,1.5,0.2
lLN1_c,5813047691,ORN_DM3,R,1.0,2.0,2.0,0.3333333333333333
lLN1_c,5813047691,ORN_DP1m,R,2.0,3.0,1.5,0.2
lLN1_c,5813047691,ORN_DL1,R,1.0,2.0,2.0,0.3333333333333333
lLN1_c,1578826464,ORN_VL2a,R,23.0,129.0,5.608695652173913,0.6973684210526315
lLN1_c,1578826464,ORN_VC1,R,1.0,2.0,2.0,0.3333333333333333
lLN1_c,1578826464,ORN_DM3,R,4.0,5.0,1.25,0.1111111111111111
lLN1_c,5813062199,ORN_VC3l,R,25.0,39.0,1.56,0.21875
