body_id,LN_instance,LN_type,combined_LN_type,broad_LN_group,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,pn_output_weight_total,ln_total_connections,sum_pn_output_fraction,sum_pn_output_percent,max_glomerulus_pn_output_percent,mean_glomerulus_pn_output_percent,pn_weighted_contra_orn_preference,n_orn_glomeruli,n_pn_glomeruli,n_convergent_glomeruli,orn_support_weight,body_convergence_score,body_score_rank,passes_body_orn_input_filter,log_pn_output_weight_total
1888199872,v2LN3b_R,v2LN3b,v2LN3b,v2LN3,332.0,278.0,54.0,-0.6746987951807228,-0.517698273948274,208.0,924.0,0.2251082251082251,22.51082251082251,12.662337662337661,0.9004329004329003,-0.6821080705009278,21,25,14,1.0,0.0,157,True,2.3201462861110542
5901196806,v2LN3a_R,v2LN3a,v2LN3a,v2LN3,457.0,393.0,64.0,-0.7199124726477024,-0.525353678549793,195.0,802.0,0.243142144638404,24.3142144638404,17.581047381546135,1.3507896924355778,-0.4168597315419959,16,18,10,1.0,0.0,156,True,2.292256071356476
1730996778,v2LN3a_R,v2LN3a,v2LN3a,v2LN3,198.0,180.0,18.0,-0.8181818181818182,-0.7167848956366463,99.0,522.0,0.1896551724137931,18.96551724137931,13.601532567049809,1.4588859416445623,-0.7718983645432187,15,13,8,1.0,0.0,155,True,2.0
1730651751,v2LN3a_R,v2LN3a,v2LN3a,v2LN3,458.0,389.0,69.0,-0.6986899563318777,-0.484076744393296,135.0,630.0,0.21428571428571427,21.428571428571427,15.873015873015872,1.4285714285714284,-0.5762762088147197,17,15,10,1.0,0.0,154,True,2.1335389083702174
1700644008,v2LN3a_R,v2LN3a,v2LN3a,v2LN3,300.0,254.0,46.0,-0.6933333333333334,-0.7530446973836108,63.0,555.0,0.1135135135135135,11.35135135135135,6.846846846846846,0.6677265500794912,-0.788944150661503,12,17,8,1.0,0.0,153,True,1.806179973983887
1916485259,v2LN37_R,v2LN37,v2LN37,v2LN3,422.0,352.0,70.0,-0.6682464454976303,-0.6010210185567099,362.0,1195.0,0.30292887029288706,30.292887029288707,18.242677824267783,1.317082044751683,-0.668136754913087,11,23,11,1.0,0.0,143,True,2.5599066250361124
5813054716,v2LN36_R,v2LN36,v2LN36,v2LN3,2738.0,2256.0,482.0,-0.647918188458729,-0.636473687724968,2537.0,3173.0,0.7995587771824771,79.95587771824772,21.46233848093287,4.9972423573904825,-0.7924844578430975,9,16,8,1.0,0.0,142,True,3.404491617758686
1825789179,lLN10_R,lLN10,lLN10,other lLN,98.0,80.0,18.0,-0.6326530612244898,-0.848529411764706,444.0,1144.0,0.3881118881118881,38.81118881118881,19.318181818181817,2.042694147957306,-0.7934640522875818,8,19,7,1.0,0.0,91,True,2.6483600109809315
2040301572,lLN11_R,lLN11,lLN11,other lLN,47.0,24.0,23.0,-0.02127659574468085,-0.3768207282913165,282.0,394.0,0.7157360406091371,71.57360406091371,22.33502538071066,2.4680553124453004,-0.3013872215552888,8,29,7,0.94,0.0,92,True,2.45178643552429
1918565786,lLN12a_R,lLN12a,lLN12a,other lLN,43.0,29.0,14.0,-0.3488372093023256,-0.5386154461784713,377.0,405.0,0.9308641975308641,93.08641975308642,19.012345679012345,4.432686654908877,-0.5122265122265123,7,21,5,0.86,0.0,93,True,2.5774917998372255
