body_id,LN_instance,LN_type,combined_LN_type,broad_LN_group,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,pn_output_weight_total,ln_total_connections,sum_pn_output_fraction,sum_pn_output_percent,max_glomerulus_pn_output_percent,mean_glomerulus_pn_output_percent,pn_weighted_contra_orn_preference,n_orn_glomeruli,n_pn_glomeruli,n_convergent_glomeruli,orn_support_weight,body_convergence_score,body_score_rank
7205759406324039862,il3LN6_R,il3LN6,il3LN6,il3LN,8811.0,553.0,8258.0,0.874475087958234,0.8577403604175546,2436.0,20688.0,0.1177494199535963,11.77494199535963,3.9056457849961332,0.25597699989912237,0.8924867791616943,45,46,43,1.0,6.819614133263218,1
7205759406236367011,il3LN6_L,il3LN6,il3LN6,il3LN,8955.0,630.0,8325.0,0.8592964824120602,0.8828636467953483,2052.0,19814.0,0.10356313717573433,10.356313717573434,2.9524578580801455,0.23014030483496514,0.8644519063779561,45,45,43,1.0,6.553903609599184,2
7205759406324039861,il3LN6_L,il3LN6,il3LN6,il3LN,8046.0,565.0,7481.0,0.8595575441213025,0.8187013301691206,1950.0,18397.0,0.10599554275153558,10.599554275153558,3.1526879382508017,0.2408989607989445,0.8655643986186184,45,44,42,1.0,6.512091624129932,3
7205759406236367012,il3LN6_R,il3LN6,il3LN6,il3LN,6856.0,429.0,6427.0,0.8748541423570595,0.8983563167181146,1504.0,14577.0,0.10317623653701036,10.317623653701036,3.6770254510530287,0.25164935740734234,0.8931460469351357,42,41,40,1.0,6.40091248056352,4
7205759406345458902,lLN2F_b_R,lLN2F_b,lLN2F,lLN2F,7279.0,811.0,6468.0,0.7771671932957824,0.7948575495996888,2115.0,40497.0,0.05222609082154234,5.222609082154234,0.6691853717559325,0.10445218164308467,0.7776657677814186,48,50,48,1.0,5.95098897649095,5
7205759406319758841,lLN2X12_L,lLN2X12,lLN2X12,other lLN,658.0,54.0,604.0,0.8358662613981763,0.7042613486832948,1160.0,7889.0,0.14704018253264037,14.704018253264037,2.3957409050576755,0.3128514521971072,0.745177623162615,45,47,44,1.0,5.898739118440487,6
7205759406255844842,lLN2X10_R,lLN2X10,lLN2X10,other lLN,880.0,78.0,802.0,0.8227272727272728,0.8399007084127355,1295.0,8636.0,0.1499536822603057,14.99536822603057,2.605372857804539,0.3124035047089702,0.7904952238894429,44,48,43,1.0,5.896517526005054,7
7205759406067519221,lLN2X12_L,lLN2X12,lLN2X12,other lLN,722.0,55.0,667.0,0.8476454293628809,0.7125160062101813,948.0,6999.0,0.13544792113159024,13.544792113159025,1.8288326903843406,0.3009953802924227,0.7789056731355913,40,45,38,1.0,5.810955934555784,8
7205759406175867571,lLN2X12_L,lLN2X12,lLN2X12,other lLN,729.0,66.0,663.0,0.8189300411522634,0.8165107408495905,1102.0,7691.0,0.14328435834091796,14.328435834091795,1.9503315563645822,0.3114877355237347,0.810474526373935,41,46,39,1.0,5.7372510898413465,9
7205759406226508792,lLN2X12_R,lLN2X12,lLN2X12,other lLN,611.0,57.0,554.0,0.8134206219312602,0.857626290269787,1125.0,7587.0,0.1482799525504152,14.82799525504152,1.752998550151575,0.32951100566758934,0.7862502820660087,41,45,41,1.0,5.715440464686938,10
7205759406230008581,lLN2F_b_L,lLN2F_b,lLN2F,lLN2F,8485.0,1078.0,7407.0,0.7459045374189747,0.7688898448645755,2042.0,44372.0,0.04602001262057154,4.602001262057154,0.8563959253583341,0.09391839310320721,0.7624340039826812,48,49,47,1.0,5.685414615274099,11
7205759406327955321,lLN2F_b_L,lLN2F_b,lLN2F,lLN2F,8134.0,1008.0,7126.0,0.7521514629948365,0.7578263052573007,1892.0,46082.0,0.04105724577926305,4.1057245779263045,0.6531834555791849,0.08553592870679803,0.7389673415859357,47,48,45,1.0,5.675673377071384,12
7205759406199311191,lLN2X11_L,lLN2X11,lLN2X11,other lLN,1042.0,123.0,919.0,0.763915547024952,0.7130578759380254,1588.0,12175.0,0.1304312114989733,13.04312114989733,1.322381930184805,0.27751321595526235,0.7277529107886559,44,47,42,1.0,5.630714676164325,13
7205759406092828252,lLN2F_b_R,lLN2F_b,lLN2F,lLN2F,7939.0,1027.0,6912.0,0.7412772389469706,0.7575742896298323,1958.0,43356.0,0.04516099271150475,4.516099271150475,0.7219300673493865,0.0903219854230095,0.7158560479363073,46,50,46,1.0,5.6190218824289735,14
7205759406517588382,lLN2X07_R,lLN2X07,lLN2X07,other lLN,471.0,33.0,438.0,0.8598726114649682,0.7958680196672376,598.0,5763.0,0.10376539996529585,10.376539996529585,2.411938226618081,0.33472709666224476,0.8790089536993123,19,31,18,1.0,5.4991102913731575,15
7205759406302254032,lLN2X12_R,lLN2X12,lLN2X12,other lLN,649.0,74.0,575.0,0.7719568567026194,0.7690921880677684,1065.0,7354.0,0.1448191460429698,14.48191460429698,2.3796573293445746,0.3081258426446166,0.7953186890931284,41,47,40,1.0,5.381827382076457,16
7205759406280599782,lLN2X11_R,lLN2X11,lLN2X11,other lLN,1048.0,144.0,904.0,0.7251908396946565,0.7265302068552337,1608.0,12508.0,0.12855772305724336,12.855772305724336,1.7988487368084425,0.27352707033456036,0.7157850688143316,43,47,43,1.0,5.354350946292186,17
7205759406277373651,lLN2X10_L,lLN2X10,lLN2X10,other lLN,478.0,58.0,420.0,0.7573221757322176,0.763745173117784,1172.0,7092.0,0.16525662718556117,16.525662718556116,2.143260011280316,0.33725842282767593,0.7496562165244008,43,49,42,1.0,5.352238044377737,18
