body_id,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs,source_orn_files,pn_output_weight,ln_total_connections,source_pn_files,LN_instance,LN_type,combined_LN_type,broad_LN_group,orn_total_inputs,contra_orn_preference,pn_output_fraction,pn_output_percent,has_orn_input,has_pn_output,same_glomerulus_convergence_score,passes_glomerulus_orn_input_filter
7205759406147565892,DC1,33.0,33.0,0.0,7205759406147565892_ALBN1_R_glomerular_ORN_inputs_ipsi_contra.csv,3.0,1715.0,7205759406147565892_['ALBN1_R']_glomerular_PN_synapses.csv,ALBN1_R,ALBN1,ALBN1,other,33.0,-1.0,0.001749271137026239,0.1749271137026239,True,True,-0.0024250047133292547,True
7205759406147565892,DC4,208.0,204.0,4.0,7205759406147565892_ALBN1_R_glomerular_ORN_inputs_ipsi_contra.csv,13.0,1715.0,7205759406147565892_['ALBN1_R']_glomerular_PN_synapses.csv,ALBN1_R,ALBN1,ALBN1,other,208.0,-0.9615384615384616,0.007580174927113703,0.7580174927113703,True,True,-0.01923511173188964,True
7205759406147565892,DL5,33.0,31.0,2.0,7205759406147565892_ALBN1_R_glomerular_ORN_inputs_ipsi_contra.csv,5.0,1715.0,7205759406147565892_['ALBN1_R']_glomerular_PN_synapses.csv,ALBN1_R,ALBN1,ALBN1,other,33.0,-0.8787878787878788,0.0029154518950437317,0.2915451895043732,True,True,-0.004590602050323668,True
7205759406147565892,DM1,102.0,94.0,8.0,7205759406147565892_ALBN1_R_glomerular_ORN_inputs_ipsi_contra.csv,4.0,1715.0,7205759406147565892_['ALBN1_R']_glomerular_PN_synapses.csv,ALBN1_R,ALBN1,ALBN1,other,102.0,-0.8431372549019608,0.0023323615160349854,0.23323615160349853,True,True,-0.0031649610808742383,True
7205759406147565892,DM3,45.0,41.0,4.0,7205759406147565892_ALBN1_R_glomerular_ORN_inputs_ipsi_contra.csv,6.0,1715.0,7205759406147565892_['ALBN1_R']_glomerular_PN_synapses.csv,ALBN1_R,ALBN1,ALBN1,other,45.0,-0.8222222222222222,0.003498542274052478,0.3498542274052478,True,True,-0.005597564665892835,True
7205759406147565892,DP1m,554.0,521.0,33.0,7205759406147565892_ALBN1_R_glomerular_ORN_inputs_ipsi_contra.csv,46.0,1715.0,7205759406147565892_['ALBN1_R']_glomerular_PN_synapses.csv,ALBN1_R,ALBN1,ALBN1,other,554.0,-0.8808664259927798,0.026822157434402333,2.682215743440233,True,True,-0.09096642848005745,True
7205759406147565892,VA2,31.0,30.0,1.0,7205759406147565892_ALBN1_R_glomerular_ORN_inputs_ipsi_contra.csv,3.0,1715.0,7205759406147565892_['ALBN1_R']_glomerular_PN_synapses.csv,ALBN1_R,ALBN1,ALBN1,other,31.0,-0.9354838709677419,0.001749271137026239,0.1749271137026239,True,True,-0.0022685527963402703,True
7205759406147565892,VM7d,120.0,119.0,1.0,7205759406147565892_ALBN1_R_glomerular_ORN_inputs_ipsi_contra.csv,3.0,1715.0,7205759406147565892_['ALBN1_R']_glomerular_PN_synapses.csv,ALBN1_R,ALBN1,ALBN1,other,120.0,-0.9833333333333333,0.001749271137026239,0.1749271137026239,True,True,-0.0023845879681071,True
7205759406280236851,DA1,46.0,39.0,7.0,7205759406280236851_ALBN1_L_glomerular_ORN_inputs_ipsi_contra.csv,22.0,964.0,7205759406280236851_['ALBN1_L']_glomerular_PN_synapses.csv,ALBN1_L,ALBN1,ALBN1,other,46.0,-0.6956521739130435,0.022821576763485476,2.2821576763485476,True,True,-0.04977872830628994,True
7205759406280236851,DC1,104.0,102.0,2.0,7205759406280236851_ALBN1_L_glomerular_ORN_inputs_ipsi_contra.csv,3.0,964.0,7205759406280236851_['ALBN1_L']_glomerular_PN_synapses.csv,ALBN1_L,ALBN1,ALBN1,other,104.0,-0.9615384615384616,0.0031120331950207467,0.3112033195020747,True,True,-0.0041482635287261324,True
7205759406280236851,DC4,346.0,328.0,18.0,7205759406280236851_ALBN1_L_glomerular_ORN_inputs_ipsi_contra.csv,1.0,964.0,7205759406280236851_['ALBN1_L']_glomerular_PN_synapses.csv,ALBN1_L,ALBN1,ALBN1,other,346.0,-0.8959537572254336,0.001037344398340249,0.1037344398340249,True,True,-0.0006442197310507251,True
7205759406280236851,DL5,68.0,58.0,10.0,7205759406280236851_ALBN1_L_glomerular_ORN_inputs_ipsi_contra.csv,1.0,964.0,7205759406280236851_['ALBN1_L']_glomerular_PN_synapses.csv,ALBN1_L,ALBN1,ALBN1,other,68.0,-0.7058823529411765,0.001037344398340249,0.1037344398340249,True,True,-0.0005075522435147268,True
7205759406280236851,DM1,286.0,275.0,11.0,7205759406280236851_ALBN1_L_glomerular_ORN_inputs_ipsi_contra.csv,6.0,964.0,7205759406280236851_['ALBN1_L']_glomerular_PN_synapses.csv,ALBN1_L,ALBN1,ALBN1,other,286.0,-0.9230769230769231,0.006224066390041493,0.6224066390041494,True,True,-0.0111798221139469,True
