body_id,LN_instance,LN_type,combined_LN_type,broad_LN_group,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,pn_output_weight_total,ln_total_connections,sum_pn_output_fraction,sum_pn_output_percent,max_glomerulus_pn_output_percent,mean_glomerulus_pn_output_percent,pn_weighted_contra_orn_preference,n_orn_glomeruli,n_pn_glomeruli,n_convergent_glomeruli,orn_support_weight,body_convergence_score,body_score_rank,passes_body_orn_input_filter
7205759406045685212,lLN13_R,lLN13,lLN13,other lLN,24.0,4.0,20.0,0.6666666666666666,0.62,245.0,1567.0,0.15634971282705806,15.634971282705806,6.573069559668156,0.7445224420336098,0.7794117647058824,5,21,4,0.48,1.7617060914983558,131,False
7205759406343852472,CB3007_R,CB3007,CB3007,other,18.0,3.0,15.0,0.6666666666666666,0.375,213.0,1326.0,0.16063348416289594,16.063348416289593,9.42684766214178,1.23564218586843,0.875,4,13,3,0.36,1.2878342436052441,148,False
7205759406232488831,CB1141_L,CB1141,CB1141,other,20.0,4.0,16.0,0.6,0.07000000000000002,126.0,725.0,0.17379310344827587,17.379310344827587,12.413793103448276,5.793103448275862,0.75,5,3,1,0.4,1.1626049007500618,154,False
7205759406257728281,CB3007_L,CB3007,CB3007,other,19.0,4.0,15.0,0.5789473684210527,0.7714285714285715,174.0,1222.0,0.14238952536824875,14.238952536824875,5.400981996726677,1.0170680383446342,0.7551020408163266,5,14,4,0.38,1.1362529142631732,156,False
7205759406131678451,CB1824_L,CB1824,CB1824,other,11.0,0.0,11.0,1.0,1.0,155.0,1102.0,0.14065335753176045,14.065335753176045,7.80399274047187,1.0046668395125746,1.0,4,14,3,0.22,1.1109683215948982,158,False
7205759406228114002,CB2822_R,CB2822,CB2822,other,15.0,2.0,13.0,0.7333333333333333,0.625,141.0,912.0,0.15460526315789475,15.460526315789474,9.320175438596491,1.932565789473684,0.8170731707317073,6,8,3,0.3,1.0902819526722773,159,False
7205759406166427901,lLN13_L,lLN13,lLN13,other lLN,19.0,5.0,14.0,0.47368421052631576,0.58,242.0,1627.0,0.148740012292563,14.8740012292563,6.207744314689613,1.0624286592325929,0.6208955223880597,5,14,5,0.38,0.9887510598012985,166,False
7205759406168920611,CB3007_L,CB3007,CB3007,other,11.0,2.0,9.0,0.6363636363636364,0.5428571428571429,172.0,1435.0,0.11986062717770035,11.986062717770036,6.132404181184669,0.9988385598141697,0.9248120300751881,5,12,2,0.22,0.7214608232296891,171,False
7205759406231837631,CB3007_L,CB3007,CB3007,other,15.0,4.0,11.0,0.4666666666666667,0.4222222222222222,133.0,1077.0,0.12349117920148558,12.349117920148558,6.8709377901578454,1.3721242133498401,0.6,3,9,1,0.3,0.6856975719931275,172,False
7205759406216813212,CB3007_R,CB3007,CB3007,other,13.0,3.0,10.0,0.5384615384615384,0.8181818181818182,114.0,1031.0,0.11057225994180409,11.057225994180408,7.75945683802134,1.00520236310731,0.6103896103896104,3,11,2,0.26,0.664290497970855,173,False
7205759406293247912,CB1824_R,CB1824,CB1824,other,21.0,8.0,13.0,0.23809523809523808,0.47008547008547,77.0,585.0,0.13162393162393163,13.162393162393164,10.598290598290598,2.6324786324786325,0.07692307692307694,3,5,1,0.42,0.4356708826689591,176,False
7205759406217786462,CB2571_R,CB2571,CB2571,other,10.0,3.0,7.0,0.4,0.16666666666666663,186.0,1644.0,0.11313868613138686,11.313868613138686,10.888077858880779,2.2627737226277373,0.6666666666666666,4,5,1,0.2,0.418488689348367,177,False
7205759406185524432,CB3417_R,CB3417,CB3417,other,10.0,3.0,7.0,0.4,0.3333333333333333,177.0,1779.0,0.09949409780775717,9.949409780775717,5.789769533445756,0.6218381112984823,-0.14285714285714285,7,16,5,0.2,0.4145426840233668,178,False
7205759406266811461,v2LN42b_L,v2LN42b,v2LN42,other v2LN,4.0,0.0,4.0,1.0,1.0,154.0,869.0,0.17721518987341772,17.72151898734177,16.11047180667434,5.907172995780591,1.0,2,3,1,0.08,0.4034740093535398,179,False
7205759406181586721,CB1824_L,CB1824,CB1824,other,24.0,10.0,14.0,0.16666666666666666,0.06666666666666667,66.0,566.0,0.1166077738515901,11.66077738515901,9.363957597173144,2.9151943462897525,0.3333333333333333,5,4,1,0.48,0.3363754095512772,180,False
7205759406226252792,v2LN41a_R,v2LN41a,v2LN41,other v2LN,3.0,0.0,3.0,1.0,1.0,215.0,1472.0,0.14605978260869565,14.605978260869565,7.404891304347825,1.4605978260869563,1.0,2,10,2,0.06,0.3225167044610499,181,False
7205759406453729641,CB3417_L,CB3417,CB3417,other,4.0,0.0,4.0,1.0,1.0,48.0,441.0,0.108843537414966,10.8843537414966,3.8548752834467117,1.3605442176870748,1.0,2,8,1,0.08,0.3113456238488501,182,False
7205759406324162982,lLN2T_e_R,lLN2T_e,lLN2T,lLN2T,8.0,1.0,7.0,0.75,0.75,10.0,113.0,0.08849557522123894,8.849557522123893,8.849557522123893,8.849557522123893,0.75,1,1,1,0.16,0.2877474327358045,185,False
7205759406300807631,lLN13_L,lLN13,lLN13,other lLN,4.0,1.0,3.0,0.5,0.5,260.0,1864.0,0.13948497854077252,13.948497854077251,5.901287553648069,0.9298998569384835,0.5,1,15,1,0.08,0.22258081629290774,187,False
7205759406420154772,v2LN41a_R,v2LN41a,v2LN41,other v2LN,4.0,1.0,3.0,0.5,0.3333333333333333,231.0,2042.0,0.11312438785504408,11.312438785504408,7.296767874632713,0.5953915150265479,0.75,3,19,3,0.08,0.2178694948666524,188,False
7205759406398785891,CB3417_L,CB3417,CB3417,other,6.0,2.0,4.0,0.3333333333333333,0.2,194.0,1937.0,0.10015487867836861,10.015487867836862,4.543107898812597,0.38521107183987924,0.8666666666666667,5,26,4,0.12,0.21091998234254986,189,False
7205759406283308851,CB3417_L,CB3417,CB3417,other,6.0,2.0,4.0,0.3333333333333333,0.0,177.0,1802.0,0.09822419533851277,9.822419533851278,4.8834628190899005,0.5169694491500672,0.2,4,19,3,0.12,0.2072713420116834,190,False
7205759406295086521,CB3575_L,CB3575,CB3575,other,4.0,1.0,3.0,0.5,0.3333333333333333,161.0,1412.0,0.11402266288951843,11.402266288951843,10.48158640226629,1.9003777148253072,-1.0,3,6,1,0.08,0.20350385340929536,191,False
7205759406218320012,CB1285_R,CB1285,CB1285,other,8.0,3.0,5.0,0.25,0.11111111111111109,111.0,686.0,0.1618075801749271,16.18075801749271,15.306122448979592,5.393586005830904,,3,3,0,0.16,0.18873995485180378,192,False
7205759406256302121,CB2345_L,CB2345,CB2345,other,2.0,0.0,2.0,1.0,1.0,100.0,958.0,0.10438413361169102,10.438413361169102,8.24634655532359,1.0438413361169103,1.0,2,10,1,0.04,0.1846048206736504,193,False
7205759406183856202,lLN2T_d_R,lLN2T_d,lLN2T,lLN2T,21.0,8.0,13.0,0.23809523809523808,-0.35,5.0,127.0,0.03937007874015748,3.937007874015748,3.937007874015748,3.937007874015748,0.3,2,1,1,0.42,0.17917594692280547,194,False
7205759406438699881,CB2345_L,CB2345,CB2345,other,2.0,0.0,2.0,1.0,1.0,81.0,803.0,0.1008717310087173,10.08717310087173,6.8493150684931505,1.0087173100871731,,1,10,0,0.04,0.17626876989057014,195,False
7205759406328356881,lLN2T_d_L,lLN2T_d,lLN2T,lLN2T,12.0,3.0,9.0,0.5,0.5,3.0,51.0,0.058823529411764705,5.88235294117647,5.88235294117647,5.88235294117647,0.5,1,1,1,0.24,0.16635532333438685,196,False
7205759406384224802,CB2569_R,CB2569,CB2569,other,2.0,0.0,2.0,1.0,1.0,46.0,701.0,0.06562054208273894,6.562054208273895,5.706134094151213,3.2810271041369474,1.0,2,2,1,0.04,0.15400590406840234,197,False
7205759406252514012,lLN2T_d_R,lLN2T_d,lLN2T,lLN2T,23.0,6.0,17.0,0.4782608695652174,0.5783475783475783,1.0,103.0,0.009708737864077669,0.9708737864077669,0.9708737864077669,0.9708737864077669,-0.1111111111111111,3,1,1,0.46,0.152492379723188,198,False
