combined_LN_type,broad_LN_group,glomerulus,n_ln_body_ids,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,source_LN_instances,combined_LN_type_mean_preference,type_order
il3LN6,il3LN,VM1,4,727.0,43.0,684.0,0.8817056396148556,0.8881824577938406,il3LN6_L;il3LN6_R,0.8901412822823732,0
il3LN6,il3LN,VM2,4,204.0,11.0,193.0,0.8921568627450981,0.8887629092507141,il3LN6_L;il3LN6_R,0.8901412822823732,0
il3LN6,il3LN,VM3,3,231.0,4.0,227.0,0.9653679653679653,0.969281045751634,il3LN6_L;il3LN6_R,0.8901412822823732,0
il3LN6,il3LN,VM4,4,706.0,38.0,668.0,0.8923512747875354,0.8977176933198501,il3LN6_L;il3LN6_R,0.8901412822823732,0
il3LN6,il3LN,VM5d,4,344.0,15.0,329.0,0.9127906976744186,0.8934991117919179,il3LN6_L;il3LN6_R,0.8901412822823732,0
il3LN6,il3LN,VM5v,2,68.0,2.0,66.0,0.9411764705882353,0.938572719060524,il3LN6_L;il3LN6_R,0.8901412822823732,0
il3LN6,il3LN,VM7d,4,808.0,57.0,751.0,0.8589108910891089,0.8691939127344342,il3LN6_L;il3LN6_R,0.8901412822823732,0
il3LN6,il3LN,VM7v,4,584.0,72.0,512.0,0.7534246575342466,0.7517433923436059,il3LN6_L;il3LN6_R,0.8901412822823732,0
lLN2X07,other lLN,D,1,25.0,1.0,24.0,0.92,0.92,lLN2X07_R,0.8536004275043837,1
lLN2X07,other lLN,DL1,1,26.0,0.0,26.0,1.0,1.0,lLN2X07_R,0.8536004275043837,1
lLN2X07,other lLN,DL2d,2,76.0,3.0,73.0,0.9210526315789473,0.9230769230769231,lLN2X07_R,0.8536004275043837,1
lLN2X07,other lLN,DL2v,3,121.0,10.0,111.0,0.8347107438016529,0.8578787447182262,lLN2X07_L;lLN2X07_R,0.8536004275043837,1
lLN2X07,other lLN,DL5,3,151.0,13.0,138.0,0.8278145695364238,0.8573937478047067,lLN2X07_L;lLN2X07_R,0.8536004275043837,1
lLN2X07,other lLN,DP1l,3,338.0,21.0,317.0,0.8757396449704142,0.8653521126760563,lLN2X07_L;lLN2X07_R,0.8536004275043837,1
lLN2X07,other lLN,DP1m,3,194.0,24.0,170.0,0.7525773195876289,0.7618488053270661,lLN2X07_L;lLN2X07_R,0.8536004275043837,1
lLN2X07,other lLN,VC5,3,196.0,23.0,173.0,0.7653061224489796,0.7175539529481673,lLN2X07_L;lLN2X07_R,0.8536004275043837,1
lLN2X07,other lLN,VL2a,3,126.0,1.0,125.0,0.9841269841269841,0.981981981981982,lLN2X07_L;lLN2X07_R,0.8536004275043837,1
lLN2X07,other lLN,VL2p,3,139.0,24.0,115.0,0.6546762589928058,0.6253006253006254,lLN2X07_L;lLN2X07_R,0.8536004275043837,1
lLN2X10,other lLN,DA1,2,93.0,9.0,84.0,0.8064516129032258,0.7856472795497186,lLN2X10_L;lLN2X10_R,0.7812215209082992,2
lLN2X10,other lLN,DA2,1,28.0,11.0,17.0,0.21428571428571427,0.21428571428571427,lLN2X10_R,0.7812215209082992,2
lLN2X10,other lLN,DA4m,1,36.0,2.0,34.0,0.8888888888888888,0.8888888888888888,lLN2X10_R,0.7812215209082992,2
lLN2X10,other lLN,DL1,2,69.0,11.0,58.0,0.6811594202898551,0.6867572156196944,lLN2X10_R,0.7812215209082992,2
lLN2X10,other lLN,DL5,3,138.0,23.0,115.0,0.6666666666666666,0.6858027030440823,lLN2X10_L;lLN2X10_R,0.7812215209082992,2
lLN2X10,other lLN,DM1,1,25.0,0.0,25.0,1.0,1.0,lLN2X10_R,0.7812215209082992,2
lLN2X10,other lLN,DM4,1,42.0,11.0,31.0,0.47619047619047616,0.47619047619047616,lLN2X10_R,0.7812215209082992,2
lLN2X10,other lLN,DP1m,1,52.0,1.0,51.0,0.9615384615384616,0.9615384615384616,lLN2X10_R,0.7812215209082992,2
lLN2X10,other lLN,VA1d,1,26.0,3.0,23.0,0.7692307692307693,0.7692307692307693,lLN2X10_R,0.7812215209082992,2
lLN2X10,other lLN,VA2,1,50.0,4.0,46.0,0.84,0.84,lLN2X10_R,0.7812215209082992,2
lLN2X10,other lLN,VA6,3,107.0,3.0,104.0,0.9439252336448598,0.9500000000000001,lLN2X10_L;lLN2X10_R,0.7812215209082992,2
lLN2X10,other lLN,VC5,1,132.0,9.0,123.0,0.8636363636363636,0.8636363636363636,lLN2X10_R,0.7812215209082992,2
lLN2X10,other lLN,VL2a,2,63.0,4.0,59.0,0.873015873015873,0.8757575757575757,lLN2X10_R,0.7812215209082992,2
lLN2X10,other lLN,VM1,1,80.0,8.0,72.0,0.8,0.8,lLN2X10_R,0.7812215209082992,2
lLN2X10,other lLN,VM5v,1,30.0,1.0,29.0,0.9333333333333333,0.9333333333333333,lLN2X10_L,0.7812215209082992,2
lLN2F,lLN2F,D,8,1207.0,115.0,1092.0,0.8094449047224523,0.770505118951441,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DA1,8,1722.0,123.0,1599.0,0.8571428571428571,0.8716454833353968,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DA2,6,471.0,155.0,316.0,0.34182590233545646,0.36116017167100756,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DA3,4,128.0,10.0,118.0,0.84375,0.8449600168350169,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L,0.7253093527181246,3
lLN2F,lLN2F,DA4l,5,292.0,32.0,260.0,0.7808219178082192,0.7661733099863502,lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DA4m,5,396.0,57.0,339.0,0.7121212121212122,0.7163741719226719,lLN2F_a_L;lLN2F_a_R;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DC1,8,1446.0,176.0,1270.0,0.7565698478561549,0.7417319644644,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DC2,8,999.0,75.0,924.0,0.8498498498498499,0.8338344254251482,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DC4,8,2042.0,362.0,1680.0,0.6454456415279138,0.6534418400963071,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DL1,8,1525.0,230.0,1295.0,0.6983606557377049,0.677600663598452,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DL2d,8,762.0,112.0,650.0,0.7060367454068242,0.7045020429736719,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DL2v,8,1316.0,151.0,1165.0,0.770516717325228,0.7436908504983175,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DL3,3,116.0,11.0,105.0,0.8103448275862069,0.826486877626562,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L,0.7253093527181246,3
lLN2F,lLN2F,DL4,7,359.0,60.0,299.0,0.6657381615598886,0.6412193984336049,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DL5,8,1742.0,286.0,1456.0,0.6716417910447762,0.6591682810431351,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DM1,8,2569.0,426.0,2143.0,0.6683534449202024,0.6267272896111673,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
lLN2F,lLN2F,DM2,8,1069.0,189.0,880.0,0.646398503274088,0.631122209041981,lLN2F_a_L;lLN2F_a_R;lLN2F_b_L;lLN2F_b_R,0.7253093527181246,3
