body_id,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs,source_orn_files,pn_output_weight,ln_total_connections,source_pn_files,LN_instance,LN_type,combined_LN_type,broad_LN_group,orn_total_inputs,contra_orn_preference,pn_output_fraction,pn_output_percent,has_orn_input,has_pn_output,same_glomerulus_convergence_score,passes_glomerulus_orn_input_filter,log_pn_output_weight,plot_group
5813018460,DA1,1143.0,189.0,954.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,269.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,1143.0,0.6692913385826772,0.037946113697277475,3.7946113697277477,True,True,0.14218315177501115,True,2.4313637641589874,il3LN
5813018460,DC1,222.0,55.0,167.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,23.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,222.0,0.5045045045045045,0.0032444632529270703,0.324446325292707,True,True,0.00520198573540297,True,1.380211241711606,il3LN
5813018460,DC2,273.0,25.0,248.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,66.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,273.0,0.8168498168498168,0.009310198899703767,0.9310198899703767,True,True,0.03197683144871109,True,1.8260748027008264,il3LN
5813018460,DC4,259.0,34.0,225.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,17.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,259.0,0.7374517374517374,0.002398081534772182,0.2398081534772182,True,True,0.005111533992186952,True,1.255272505103306,il3LN
5813018460,DL1,365.0,53.0,312.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,68.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,365.0,0.7095890410958904,0.009592326139088728,0.9592326139088728,True,True,0.02881990958748241,True,1.8388490907372552,il3LN
5813018460,DL2d,117.0,18.0,99.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,17.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,117.0,0.6923076923076923,0.002398081534772182,0.2398081534772182,True,True,0.004798624943933865,True,1.255272505103306,il3LN
5813018460,DL2v,239.0,43.0,196.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,18.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,239.0,0.6401673640167364,0.0025391451544646637,0.25391451544646637,True,True,0.004786120371902946,True,1.2787536009528289,il3LN
5813018460,DL3,160.0,40.0,120.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,42.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,160.0,0.5,0.005924672027084215,0.5924672027084215,True,True,0.011141938556857781,True,1.6334684555795864,il3LN
5813018460,DL5,214.0,24.0,190.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,28.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,214.0,0.7757009345794392,0.003949781351389477,0.3949781351389477,True,True,0.010316886249841556,True,1.462397997898956,il3LN
5813018460,DM1,706.0,135.0,571.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,82.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,706.0,0.6175637393767706,0.011567216814783468,1.1567216814783468,True,True,0.03156595991194593,True,1.919078092376074,il3LN
5813018460,DM2,129.0,35.0,94.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,37.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,129.0,0.4573643410852713,0.005219353928621808,0.5219353928621808,True,True,0.008683450598407949,True,1.5797835966168101,il3LN
5813018460,DM3,98.0,18.0,80.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,13.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,98.0,0.6326530612244898,0.001833827056002257,0.1833827056002257,True,True,0.003061771770103578,True,1.146128035678238,il3LN
5813018460,DM4,418.0,98.0,320.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,61.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,418.0,0.5311004784688995,0.00860488080124136,0.860488080124136,True,True,0.018861236541511728,True,1.792391689498254,il3LN
5813018460,DP1l,523.0,104.0,419.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,32.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,523.0,0.6022944550669216,0.004514035830159402,0.4514035830159402,True,True,0.009506230459002169,True,1.5185139398778875,il3LN
5813018460,DP1m,712.0,161.0,551.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,73.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,712.0,0.547752808988764,0.010297644237551135,1.0297644237551136,True,True,0.02427735271205165,True,1.8692317197309762,il3LN
5813018460,VC1,181.0,15.0,166.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,47.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,181.0,0.8342541436464088,0.006629990125546621,0.6629990125546621,True,True,0.02141198727030463,True,1.6812412373755872,il3LN
5813018460,VC3,59.0,13.0,46.0,5813018460_il3LN6_R_glomerular_ORN_inputs_ipsi_contra.csv,10.0,7089.0,5813018460_['il3LN6_R']_glomerular_PN_synapses.csv,il3LN6_R,il3LN6,il3LN6,il3LN,59.0,0.559322033898305,0.001410636196924813,0.14106361969248132,True,True,0.001891939146645106,True,1.0413926851582251,il3LN
