body_id,LN_instance,LN_type,combined_LN_type,broad_LN_group,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,pn_output_weight_total,ln_total_connections,sum_pn_output_fraction,sum_pn_output_percent,max_glomerulus_pn_output_percent,mean_glomerulus_pn_output_percent,pn_weighted_contra_orn_preference,n_orn_glomeruli,n_pn_glomeruli,n_convergent_glomeruli,orn_support_weight,body_convergence_score,body_score_rank,passes_body_orn_input_filter,glomerulus_breadth_weight,log_pn_output_weight_total,normalized_log_pn_output_weight_total,saturated_orn_glomerulus_breadth,glomerulus_breadth_weighted_preference,body_saturated_breadth_preference_score,body_orn_pn_breadth_score,body_saturated_orn_pn_score,body_bounded_saturated_orn_pn_score,combined_LN_type_mean_contra_orn_preference_weighted,combined_LN_type_breadth_weighted_mean,combined_LN_type_mean_pn_output_weight_total,combined_LN_type_mean_log_pn_output_weight_total,combined_LN_type_mean_body_orn_pn_breadth_score,combined_LN_type_mean_body_saturated_orn_pn_score,combined_LN_type_mean_body_bounded_saturated_orn_pn_score,combined_LN_type_orn_pn_breadth_score,orn_pn_breadth_type_order,saturated_orn_pn_type_order,bounded_saturated_orn_pn_type_order,mean_preference_type_order,breadth_weighted_type_order,body_orn_preference_rank_within_type,body_breadth_weighted_rank,body_orn_pn_breadth_rank,body_saturated_orn_pn_rank,body_bounded_saturated_orn_pn_rank
5901206553,il3LN6_L,il3LN6,il3LN6,il3LN,6492.0,1050.0,5442.0,0.6765249537892791,0.48999679299486043,1841.0,6330.0,0.29083728278041077,29.083728278041075,8.167456556082149,0.7653612704747651,0.5637618844768733,26,38,26,1.0,5.086525399915679,1,True,0.8125,3.26528962586083,0.9684095650336534,1.0,0.5496765249537893,0.6765249537892791,1.7948530545108397,2.2090499132441104,0.6551532362334882,0.6587221002588273,0.5452260696904281,1925.0,3.2842428416406593,1.7905704660177346,2.163065921081095,0.641515445117989,1.7905704660177346,1,1,1,1,1,1,1,1,1,1
5813018460,il3LN6_R,il3LN6,il3LN6,il3LN,6266.0,1125.0,5141.0,0.6409192467283754,0.49632285264744996,2009.0,7089.0,0.28339681196219496,28.339681196219495,7.47637184370151,0.7266584922107564,0.4099628063866705,27,39,26,1.0,4.874761290173849,2,True,0.84375,3.303196057420489,0.9796517380427291,1.0,0.5407756144270668,0.6409192467283754,1.7862878775246296,2.1170819289180796,0.6278776540024897,0.6587221002588273,0.5452260696904281,1925.0,3.2842428416406593,1.7905704660177346,2.163065921081095,0.641515445117989,1.7905704660177346,1,1,1,1,1,2,2,2,2,2
1762359683,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,1013.0,187.0,826.0,0.6307996051332675,0.5681017273111535,843.0,3245.0,0.25978428351309707,25.978428351309706,5.454545454545454,0.5647484424197763,0.5627691234438776,22,46,22,1.0,4.2504239329188716,4,True,0.6875,2.926342446625655,0.8678856519899566,0.88,0.4336747285291214,0.5551036525172754,1.269080766123626,1.6244233806382413,0.4817664953869619,0.582079669085152,0.4590419261649399,1105.1666666666667,3.0383059810913555,1.3952027480720952,1.718414911088117,0.5096422147102716,1.3952027480720952,3,2,2,2,2,1,11,14,12,12
1640922754,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,518.0,103.0,415.0,0.6023166023166023,0.35988664586456226,903.0,3500.0,0.258,25.8,5.057142857142857,0.5375,0.47748428208077226,25,48,25,1.0,4.099866332900307,7,True,0.78125,2.9561684304753633,0.8767313506434051,1.0,0.4705598455598456,0.6023166023166023,1.3910541600933781,1.780549324919524,0.5280698482639815,0.582079669085152,0.4590419261649399,1105.1666666666667,3.0383059810913555,1.3952027480720952,1.718414911088117,0.5096422147102716,1.3952027480720952,3,2,2,2,2,2,6,10,5,5
1702306037,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,752.0,156.0,596.0,0.5851063829787234,0.48031322651384456,1296.0,4289.0,0.30216833760783396,30.216833760783395,5.549079039403124,0.6295173700163208,0.5049575047803772,25,48,25,1.0,4.193930905717068,5,True,0.78125,3.11293997608408,0.9232261739785839,1.0,0.45711436170212766,0.5851063829787234,1.422969570184711,1.82140104983643,0.5401855273278948,0.582079669085152,0.4590419261649399,1105.1666666666667,3.0383059810913555,1.3952027480720952,1.718414911088117,0.5096422147102716,1.3952027480720952,3,2,2,2,2,3,9,8,3,3
1732995501,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,1072.0,230.0,842.0,0.5708955223880597,0.29676073451655816,1170.0,4402.0,0.26578827805542937,26.578827805542936,5.338482507950931,0.56550697458602,0.4740384654457056,26,47,26,1.0,4.033727032203175,8,True,0.8125,3.068556895072363,0.9100631761737323,1.0,0.46385261194029853,0.5708955223880597,1.4233581306667282,1.7518253915898192,0.5195509923678397,0.582079669085152,0.4590419261649399,1105.1666666666667,3.0383059810913555,1.3952027480720952,1.718414911088117,0.5096422147102716,1.3952027480720952,3,2,2,2,2,4,7,7,6,6
1670627928,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,986.0,216.0,770.0,0.5618661257606491,0.406383389149745,1191.0,4481.0,0.26578888640928366,26.578888640928366,5.28899799151975,0.5778019269767036,0.46094162020324947,24,46,24,1.0,3.979915687205288,9,True,0.75,3.076276255404218,0.9123525603441607,0.96,0.4213995943204868,0.5393914807302231,1.2963415660450837,1.6593172045377071,0.4921151984720471,0.582079669085152,0.4590419261649399,1105.1666666666667,3.0383059810913555,1.3952027480720952,1.718414911088117,0.5096422147102716,1.3952027480720952,3,2,2,2,2,5,12,12,9,9
5813069085,lLN2S(Star)_R,lLN2S,lLN2S,lLN2S,964.0,221.0,743.0,0.5414937759336099,0.20465657169762588,1228.0,4552.0,0.2697715289982425,26.977152899824254,5.645869947275923,0.5739819765920053,0.3488199280737859,30,47,30,1.0,3.8521629555948858,12,True,0.9375,3.089551882886454,0.9162898051550958,1.0,0.5076504149377593,0.5414937759336099,1.5684122953190438,1.6729731150069802,0.49616522644290456,0.582079669085152,0.4590419261649399,1105.1666666666667,3.0383059810913555,1.3952027480720952,1.718414911088117,0.5096422147102716,1.3952027480720952,3,2,2,2,2,6,3,4,8,8
1640909284,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,7640.0,1840.0,5800.0,0.518324607329843,0.25567422474379886,1905.0,15956.0,0.1193908247681123,11.93908247681123,1.830032589621459,0.2487308849335673,0.3811602888106599,31,48,31,1.0,3.9147824415560244,11,True,0.96875,3.2801228963023075,0.9728087708077724,1.0,0.5021269633507854,0.518324607329843,1.647038149337661,1.7001684122195209,0.5042307241359658,0.4786078471781906,0.45440163013360413,1697.75,3.2276730652875734,1.4669281692274,1.5449956908134583,0.458210075170618,1.4669281692274,2,3,3,3,3,1,4,3,7,7
5813024698,lLN2F_b(Full)_R,lLN2F_b,lLN2F,lLN2F,7025.0,1700.0,5325.0,0.5160142348754448,0.34256655326530194,1636.0,16264.0,0.10059026069847515,10.059026069847516,1.7646335464830298,0.22353391266327813,0.49692253093424116,27,45,27,1.0,3.818825564835639,13,True,0.84375,3.2140486794119414,0.9532126825674008,1.0,0.4353870106761566,0.5160142348754448,1.3993550466968139,1.6584948701591868,0.4918713130685876,0.4786078471781906,0.45440163013360413,1697.75,3.2276730652875734,1.4669281692274,1.5449956908134583,0.458210075170618,1.4669281692274,2,3,3,3,3,2,10,9,10,10
1670287030,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,3472.0,933.0,2539.0,0.46255760368663595,0.17085614117378484,1439.0,11663.0,0.12338163422790019,12.33816342279002,2.5465146188802192,0.25704507130812543,0.33672394891648094,32,48,32,1.0,3.363903173521744,17,True,1.0,3.1583624920952498,0.9366974442220356,1.0,0.46255760368663595,0.46255760368663595,1.4609245859173303,1.4609245859173303,0.43327652517874116,0.4786078471781906,0.45440163013360413,1697.75,3.2276730652875734,1.4669281692274,1.5449956908134583,0.458210075170618,1.4669281692274,2,3,3,3,3,3,8,6,14,14
5901218894,lLN2F_a(Full)_R,lLN2F_a,lLN2F,lLN2F,3935.0,1146.0,2789.0,0.41753494282083864,0.1382053787762963,1811.0,11694.0,0.15486574311612794,15.486574311612793,2.8903711304942705,0.32263696482526655,0.2710825010231328,32,48,32,1.0,3.1324250057150205,20,True,1.0,3.2581581933407944,0.966294546687318,1.0,0.41753494282083864,0.41753494282083864,1.3603948949577955,1.3603948949577955,0.4034617382991775,0.4786078471781906,0.45440163013360413,1697.75,3.2276730652875734,1.4669281692274,1.5449956908134583,0.458210075170618,1.4669281692274,2,3,3,3,3,4,13,11,15,15
